,Source,SS,DF,MS,F,p-unc,np2
0,expt_dat,3115.225,1.0,3115.225,283.583,3.602883985413258e-58,0.166
1,group,21.025,1.0,21.025,1.914,0.1667436446150734,0.001
2,anova_bin,304.381,3.0,101.46,9.236,4.733727193084838e-06,0.019
3,expt_dat * group,28.336,1.0,28.336,2.579,0.1084792336096068,0.002
4,expt_dat * anova_bin,368.825,3.0,122.942,11.192,2.9273635804148215e-07,0.023
5,group * anova_bin,469.258,3.0,156.419,14.239,3.813719680726277e-09,0.029
6,expt_dat * group * anova_bin,198.969,3.0,66.323,6.037,0.0004388994793593491,0.013
7,Residual,15642.956,1424.0,10.985,,,
