Time,Poke1,Poke2,Line1,Line2,Line3,Line4
0.11,True,True,False,False,False,False
0.21,True,True,False,False,False,False
0.31,True,True,False,False,False,False
0.41,True,True,False,False,False,False
0.51,True,True,False,False,False,False
0.61,True,True,False,False,False,False
0.71,True,True,False,False,False,False
0.81,True,True,False,False,False,False
0.91,True,True,False,False,False,False
1.01,True,True,False,False,False,False
1.11,True,True,False,False,False,False
1.22,True,True,False,False,False,False
1.32,True,True,False,False,False,False
1.42,True,True,False,False,False,False
1.52,True,True,False,False,False,False
1.62,True,True,False,False,False,False
1.72,True,True,False,False,False,False
1.82,True,True,False,False,False,False
1.92,True,True,False,False,False,False
2.02,True,True,False,False,False,False
2.12,True,True,False,False,False,False
2.22,True,True,False,False,False,False
2.32,True,True,False,False,False,False
2.42,True,True,False,False,False,False
2.52,True,True,False,False,False,False
2.62,True,True,False,False,False,False
2.72,True,True,False,False,False,False
2.82,True,True,False,False,False,False
2.92,True,True,False,False,False,False
3.02,True,True,False,False,False,False
3.12,True,True,False,False,False,False
3.22,True,True,False,False,False,False
3.32,True,True,False,False,False,False
3.42,True,True,False,False,False,False
3.52,True,True,False,False,False,False
3.63,True,True,False,False,False,False
3.73,True,True,False,False,False,False
3.83,True,True,False,False,False,False
3.93,True,True,False,False,False,False
4.03,True,True,False,False,False,False
4.13,True,True,False,False,False,False
4.23,True,True,False,False,False,False
4.33,True,True,False,False,False,False
4.43,True,True,False,False,False,False
4.53,True,True,False,False,False,False
4.63,True,True,False,False,False,False
4.73,True,True,False,False,False,False
4.83,True,True,False,False,False,False
4.93,True,True,False,False,False,False
5.03,True,True,False,False,False,False
5.13,True,True,False,False,False,False
5.26,True,True,False,False,False,False
5.36,True,True,False,False,False,False
5.46,True,True,False,False,False,False
5.56,True,True,False,False,False,False
5.66,True,True,False,False,False,False
5.76,True,True,False,False,False,False
5.86,True,True,False,False,False,False
5.96,True,True,False,False,False,False
6.06,True,True,False,False,False,False
6.16,True,True,False,False,False,False
6.26,True,True,False,False,False,False
6.36,True,True,False,False,False,False
6.46,True,True,False,False,False,False
6.56,True,True,False,False,False,False
6.67,True,True,False,False,False,False
6.77,True,True,False,False,False,False
6.87,True,True,False,False,False,False
6.97,True,True,False,False,False,False
7.07,True,True,False,False,False,False
7.17,True,True,False,False,False,False
7.27,True,True,False,False,False,False
7.37,True,True,False,False,False,False
7.47,True,True,False,False,False,False
7.57,True,True,False,False,False,False
7.67,True,True,False,False,False,False
7.77,True,True,False,False,False,False
7.87,True,True,False,False,False,False
7.97,True,True,False,False,False,False
8.07,True,True,False,False,False,False
8.17,True,True,False,False,False,False
8.27,True,True,False,False,False,False
8.37,True,True,False,False,False,False
8.47,True,True,False,False,False,False
8.57,True,True,False,False,False,False
8.67,True,True,False,False,False,False
8.77,True,True,False,False,False,False
