Time,Poke1,Poke2,Line1,Line2
0.18,True,True,False,False
0.28,True,True,False,False
0.38,True,True,False,False
0.48,True,True,False,False
0.58,True,True,False,False
0.68,True,True,False,False
0.78,True,True,False,False
0.88,True,True,False,False
0.98,True,True,False,False
1.08,True,True,False,False
1.18,True,True,False,False
1.28,True,True,False,False
1.38,True,True,False,False
1.48,True,True,False,False
1.58,True,True,False,False
1.68,True,True,False,False
1.78,True,True,False,False
1.88,True,True,False,False
1.98,True,True,False,False
2.09,True,True,False,False
2.19,True,True,False,False
2.29,True,True,False,False
2.39,True,True,False,False
2.49,True,True,False,False
2.59,True,True,False,False
2.69,True,True,False,False
2.79,True,True,False,False
2.89,True,True,False,False
2.99,True,True,False,False
3.09,True,True,False,False
3.19,True,True,False,False
3.29,True,True,False,False
3.39,True,True,False,False
3.49,True,True,False,False
3.59,True,True,False,False
3.69,True,True,False,False
3.79,True,True,False,False
3.89,True,True,False,False
3.99,True,True,False,False
4.09,True,True,False,False
4.19,True,True,False,False
4.29,True,True,False,False
4.39,True,True,False,False
4.49,True,True,False,False
4.59,True,True,False,False
4.7,True,True,False,False
4.8,False,False,False,False
4.9,False,False,False,False
5.0,False,False,False,False
5.1,False,False,False,False
5.2,False,False,False,False
5.31,False,False,False,False
5.41,False,False,False,False
5.51,False,False,False,False
5.61,False,False,False,False
5.71,False,False,False,False
5.81,False,False,False,False
5.91,False,False,False,False
6.01,False,False,False,False
6.11,False,False,False,False
6.21,False,False,False,False
6.31,False,False,False,False
6.41,False,False,False,False
6.51,False,False,False,False
6.61,False,False,False,False
6.71,False,False,False,False
6.81,False,False,False,False
6.91,False,False,False,False
7.01,False,False,False,False
7.11,False,False,False,False
7.21,False,False,False,False
7.31,False,False,False,False
7.41,False,False,False,False
7.51,False,False,False,False
7.61,False,False,False,False
7.71,False,False,False,False
7.81,False,False,False,False
7.91,False,False,False,False
8.01,False,False,False,False
8.11,False,False,False,False
8.22,False,False,False,False
8.32,False,False,False,False
8.42,False,False,False,False
8.52,False,False,False,False
8.62,False,False,False,False
8.72,False,False,False,False
8.82,False,True,False,False
8.92,False,True,False,False
9.02,False,True,False,False
9.12,False,True,False,False
9.22,False,True,False,False
9.32,False,True,False,False
9.42,False,True,False,True
9.52,False,True,False,False
9.62,False,True,False,False
9.72,False,True,False,False
9.82,False,True,False,False
9.92,False,True,False,False
10.02,False,True,False,False
10.12,False,False,False,False
10.22,False,True,False,False
10.32,False,True,False,False
10.42,False,True,False,False
10.52,False,True,False,False
10.62,False,True,False,False
10.73,False,True,False,False
10.83,False,True,False,False
10.93,False,True,False,False
11.03,False,False,False,False
11.13,False,False,False,False
11.23,False,False,False,False
11.33,False,False,False,False
11.43,False,False,False,False
11.53,False,False,False,False
11.63,False,False,False,False
11.73,False,False,False,False
11.83,False,False,False,False
11.93,False,False,False,False
12.03,False,False,False,False
12.14,False,False,False,False
12.24,False,False,False,False
12.34,False,False,False,False
12.44,False,False,False,False
12.54,False,False,False,False
12.64,False,False,False,False
12.74,False,False,False,False
12.84,False,False,False,False
12.94,False,False,False,False
13.04,False,False,False,False
13.14,False,False,False,False
13.24,False,False,False,False
13.34,False,False,False,False
13.44,False,False,False,False
13.54,False,False,False,False
13.64,False,False,False,False
13.74,False,False,False,False
13.84,True,False,False,False
13.94,True,False,False,False
14.04,True,False,False,False
14.14,True,False,False,False
14.24,True,False,False,False
14.34,True,False,True,False
14.45,True,False,False,False
14.55,True,False,False,False
14.65,True,False,False,False
14.75,True,False,False,False
14.85,True,False,False,False
14.95,True,False,False,False
15.05,True,False,False,False
15.15,True,False,False,False
15.25,True,False,False,False
15.35,True,False,False,False
15.45,True,False,False,False
15.55,True,False,False,False
15.65,False,False,False,False
15.75,False,False,False,False
15.85,False,False,False,False
15.95,False,False,False,False
16.05,False,False,False,False
16.15,False,False,False,False
16.25,False,False,False,False
16.36,False,False,False,False
16.46,False,False,False,False
16.56,False,False,False,False
16.66,False,False,False,False
16.76,False,False,False,False
16.86,False,False,False,False
16.96,False,False,False,False
17.06,False,False,False,False
17.16,False,False,False,False
17.26,False,False,False,False
17.36,False,False,False,False
17.46,False,False,False,False
17.56,False,False,False,False
17.66,False,False,False,False
17.76,False,False,False,False
17.86,False,False,False,False
17.96,False,False,False,False
18.06,False,False,False,False
18.16,False,False,False,False
18.26,False,False,False,False
18.36,False,False,False,False
18.46,False,False,False,False
18.56,False,False,False,False
18.66,False,False,False,False
18.77,False,False,False,False
18.87,False,False,False,False
18.97,False,False,False,False
19.07,False,False,False,False
19.17,False,False,False,False
19.27,False,False,False,False
19.37,False,False,False,False
19.47,False,False,False,False
19.57,False,False,False,False
19.67,False,False,False,False
19.77,False,False,False,False
19.87,False,False,False,False
19.97,False,False,False,False
20.07,False,False,False,False
20.17,False,False,False,False
20.27,False,False,False,False
20.37,False,False,False,False
20.47,False,False,False,False
20.57,False,False,False,False
20.67,False,False,False,False
20.77,False,False,False,False
20.87,False,False,False,False
20.97,False,False,False,False
21.07,False,False,False,False
21.17,False,False,False,False
21.27,False,False,False,False
21.38,False,False,False,False
21.48,False,True,False,False
21.58,False,True,False,False
21.68,False,True,False,False
21.78,False,True,False,False
21.88,False,True,False,False
21.98,False,True,False,False
22.08,False,True,False,False
22.18,False,True,False,False
22.28,False,True,False,False
22.38,False,True,False,False
22.48,False,True,False,False
22.58,False,True,False,False
22.68,False,True,False,False
22.78,False,True,False,False
22.89,False,True,False,False
22.99,False,True,False,False
23.09,False,True,False,False
23.19,False,True,False,False
23.29,False,True,False,False
23.39,False,True,False,False
23.49,False,True,False,False
23.59,False,True,False,False
23.69,False,False,False,False
23.79,False,False,False,False
23.89,False,False,False,False
23.99,False,False,False,False
24.09,False,False,False,False
24.19,False,False,False,False
24.29,False,False,False,False
24.39,False,False,False,False
24.49,False,False,False,False
24.59,False,False,False,False
24.69,False,False,False,False
24.79,False,False,False,False
24.89,False,False,False,False
24.99,False,False,False,False
25.09,False,False,False,False
25.19,False,False,False,False
25.3,False,False,False,False
25.4,False,False,False,False
25.5,False,False,False,False
25.6,False,False,False,False
25.7,False,False,False,False
25.8,False,False,False,False
25.9,False,False,False,False
26.0,False,False,False,False
26.1,False,False,False,False
26.2,False,False,False,False
26.3,False,False,False,False
26.43,False,False,False,False
26.53,False,False,False,False
26.63,False,False,False,False
26.73,False,False,False,False
26.83,False,False,False,False
26.93,False,False,False,False
27.03,False,False,False,False
27.13,False,False,False,False
27.23,False,False,False,False
27.33,False,False,False,False
27.43,False,False,False,False
27.53,False,False,False,False
27.63,False,False,False,False
27.73,False,False,False,False
27.83,False,False,False,False
27.93,False,False,False,False
28.03,False,False,False,False
28.13,False,False,False,False
28.23,False,False,False,False
28.33,False,False,False,False
28.43,False,False,False,False
28.53,False,False,False,False
28.63,False,False,False,False
28.73,False,False,False,False
28.84,False,False,False,False
28.94,False,False,False,False
29.04,False,False,False,False
29.14,False,False,False,False
29.24,True,False,False,False
29.34,True,False,False,False
29.44,True,False,False,False
29.54,True,False,False,False
29.64,True,False,False,False
29.74,True,False,False,False
29.84,True,False,False,False
29.94,True,False,False,False
30.04,True,False,False,False
30.14,True,False,False,False
30.24,True,False,False,False
30.34,True,False,False,False
30.44,True,False,False,False
30.54,True,False,False,False
30.64,True,False,False,False
30.74,True,False,False,False
30.84,True,False,False,False
30.94,True,False,False,False
31.04,False,False,False,False
31.14,False,False,False,False
31.24,False,False,False,False
31.34,False,False,False,False
31.44,False,False,False,False
31.54,False,False,False,False
31.64,False,False,False,False
31.74,False,False,False,False
31.85,False,False,False,False
31.95,False,False,False,False
32.05,False,False,False,False
32.15,False,False,False,False
32.25,False,True,False,False
32.35,False,True,False,False
32.45,False,True,False,False
32.55,False,True,False,False
32.65,False,True,False,False
32.75,False,True,False,False
32.85,False,True,False,False
32.95,False,True,False,False
33.05,False,True,False,False
33.15,False,True,False,False
33.25,False,True,False,False
33.35,False,True,False,False
33.45,False,True,False,False
33.55,False,True,False,False
33.65,False,True,False,False
33.75,False,True,False,False
33.85,False,True,False,False
33.95,False,True,False,False
34.05,False,True,False,False
34.16,False,True,False,False
34.26,False,True,False,False
34.36,False,True,False,False
34.46,False,True,False,False
34.64,False,False,False,False
34.74,False,False,False,False
34.85,False,False,False,False
34.95,False,False,False,False
35.05,False,False,False,False
35.15,False,False,False,False
35.25,False,False,False,False
35.35,False,False,False,False
35.45,False,False,False,False
35.55,False,False,False,False
35.65,False,False,False,False
35.75,False,False,False,False
35.85,False,False,False,False
35.95,False,False,False,False
36.05,False,False,False,False
36.15,False,False,False,False
36.25,False,False,False,False
36.35,False,False,False,False
36.45,False,False,False,False
36.56,False,False,False,False
36.66,False,False,False,False
36.76,False,False,False,False
36.86,False,False,False,False
36.96,False,False,False,False
37.06,False,False,False,False
37.16,False,False,False,False
37.26,False,False,False,False
37.36,False,False,False,False
37.46,False,False,False,False
37.56,False,False,False,False
37.66,False,False,False,False
37.76,False,False,False,False
37.86,False,False,False,False
37.96,False,False,False,False
38.07,False,False,False,False
38.17,False,False,False,False
38.27,False,False,False,False
38.37,False,False,False,False
38.47,False,False,False,False
38.57,False,False,False,False
38.67,False,False,False,False
38.77,False,False,False,False
38.87,False,False,False,False
38.97,False,False,False,False
39.07,False,False,False,False
39.17,False,False,False,False
39.27,False,False,False,False
39.37,False,False,False,False
39.47,True,False,False,False
39.57,True,False,False,False
39.67,True,False,False,False
39.77,True,False,False,False
39.87,True,False,False,False
39.97,True,False,False,False
40.07,True,False,False,False
40.17,True,False,False,False
40.27,True,False,False,False
40.37,True,False,False,False
40.48,True,False,False,False
40.58,True,False,False,False
40.68,True,False,False,False
40.78,True,False,False,False
40.88,True,False,False,False
40.98,True,False,False,False
41.08,False,False,False,False
41.18,False,False,False,False
41.28,False,False,False,False
41.38,False,False,False,False
41.48,False,False,False,False
41.58,False,False,False,False
41.68,False,False,False,False
41.78,False,False,False,False
41.88,False,False,False,False
41.98,False,False,False,False
42.08,False,False,False,False
42.18,False,False,False,False
42.28,False,False,False,False
42.38,False,False,False,False
42.48,False,False,False,False
42.58,False,True,False,False
42.68,False,True,False,False
42.78,False,True,False,False
42.88,False,True,False,False
42.98,False,True,False,False
43.08,False,True,False,True
43.19,False,True,False,False
43.29,False,False,False,False
43.39,False,True,False,False
43.49,False,True,False,False
43.59,False,True,False,False
43.69,False,True,False,False
43.79,False,True,False,False
43.89,False,True,False,False
43.99,False,True,False,False
44.09,False,True,False,False
44.19,False,True,False,False
44.29,False,True,False,False
44.39,False,True,False,False
44.49,False,True,False,False
44.59,False,False,False,False
44.69,False,False,False,False
44.79,False,False,False,False
44.89,False,False,False,False
44.99,False,False,False,False
45.09,False,False,False,False
45.19,False,False,False,False
45.3,False,False,False,False
45.4,False,False,False,False
45.5,False,False,False,False
45.6,False,False,False,False
45.7,False,False,False,False
45.8,False,False,False,False
45.9,False,False,False,False
46.0,False,False,False,False
46.1,False,False,False,False
46.2,False,False,False,False
46.3,False,False,False,False
46.4,False,False,False,False
46.5,False,False,False,False
46.6,False,False,False,False
46.7,False,False,False,False
46.8,False,False,False,False
46.9,False,False,False,False
47.0,False,False,False,False
47.1,False,False,False,False
47.2,False,False,False,False
47.3,False,False,False,False
47.4,False,False,False,False
47.5,False,False,False,False
47.6,False,False,False,False
47.7,False,False,False,False
47.8,False,False,False,False
47.9,False,False,False,False
48.0,False,False,False,False
48.1,False,False,False,False
48.2,False,False,False,False
48.3,False,False,False,False
48.4,False,False,False,False
48.5,False,False,False,False
48.6,False,False,False,False
48.71,False,False,False,False
48.81,False,False,False,False
48.91,False,False,False,False
49.01,False,False,False,False
49.11,False,False,False,False
49.21,False,False,False,False
49.31,False,False,False,False
49.41,False,False,False,False
49.51,False,False,False,False
49.61,False,False,False,False
49.71,False,False,False,False
49.81,False,False,False,False
49.91,False,False,False,False
50.01,False,False,False,False
50.11,False,False,False,False
50.21,False,False,False,False
50.31,False,False,False,False
50.41,False,False,False,False
50.51,True,False,False,False
50.61,True,False,False,False
50.71,True,False,False,False
50.81,True,False,False,False
50.91,True,False,False,False
51.01,True,False,False,False
51.11,True,False,False,False
51.21,True,False,False,False
51.31,True,False,False,False
51.41,True,False,False,False
51.51,True,False,False,False
51.61,True,False,False,False
51.71,True,False,False,False
51.81,True,False,False,False
51.92,True,False,False,False
52.02,True,False,False,False
52.12,True,False,False,False
52.22,False,False,False,False
52.32,False,False,False,False
52.42,False,False,False,False
52.52,False,False,False,False
52.62,False,False,False,False
52.72,False,False,False,False
52.82,False,False,False,False
52.92,False,False,False,False
53.02,False,False,False,False
53.12,False,False,False,False
53.22,False,False,False,False
53.32,False,False,False,False
53.42,False,False,False,False
53.52,False,False,False,False
53.62,False,False,False,False
53.72,False,False,False,False
53.82,False,False,False,False
53.92,False,False,False,False
54.02,False,False,False,False
54.12,False,False,False,False
54.22,False,False,False,False
54.32,False,False,False,False
54.42,False,False,False,False
54.52,False,False,False,False
54.62,False,False,False,False
54.72,False,False,False,False
54.82,False,False,False,False
54.93,False,False,False,False
55.03,False,False,False,False
55.13,False,False,False,False
55.23,False,False,False,False
55.33,False,False,False,False
55.43,False,False,False,False
55.53,False,False,False,False
55.63,False,False,False,False
55.73,False,False,False,False
55.83,False,False,False,False
55.93,False,False,False,False
56.03,False,False,False,False
56.13,False,False,False,False
56.23,False,False,False,False
56.33,False,False,False,False
56.43,False,False,False,False
56.53,False,False,False,False
56.63,False,False,False,False
56.73,False,False,False,False
56.83,False,False,False,False
56.95,False,False,False,False
57.05,False,False,False,False
57.15,False,False,False,False
57.25,False,False,False,False
57.35,False,False,False,False
57.45,False,False,False,False
57.55,False,False,False,False
57.65,False,False,False,False
57.75,False,False,False,False
57.85,False,False,False,False
57.95,False,False,False,False
58.05,False,False,False,False
58.15,False,False,False,False
58.25,False,False,False,False
58.35,False,False,False,False
58.45,False,True,False,False
58.55,False,True,False,False
58.65,False,True,False,False
58.75,False,True,False,False
58.86,False,True,False,False
58.96,False,True,False,False
59.06,False,True,False,False
59.16,False,True,False,False
59.26,False,True,False,False
59.36,False,True,False,False
59.46,False,True,False,False
59.56,False,True,False,False
59.66,False,True,False,False
59.76,False,True,False,False
59.86,False,True,False,False
59.96,False,True,False,False
60.06,False,True,False,False
60.16,False,True,False,False
60.26,False,False,False,False
60.36,False,False,False,False
60.47,False,False,False,False
60.57,False,False,False,False
60.67,False,False,False,False
60.77,False,False,False,False
60.87,False,False,False,False
60.97,False,False,False,False
61.07,False,False,False,False
61.17,False,False,False,False
61.27,False,False,False,False
61.37,False,False,False,False
61.47,False,False,False,False
61.57,True,False,False,False
61.67,True,False,False,False
61.77,True,False,False,False
61.87,True,False,False,False
61.98,True,False,False,False
62.08,True,False,True,False
62.18,True,False,False,False
62.28,True,False,False,False
62.38,True,False,False,False
62.48,True,False,False,False
62.58,True,False,False,False
62.68,True,False,False,False
62.78,True,False,False,False
62.88,True,False,False,False
62.98,True,False,False,False
63.08,True,False,False,False
63.18,True,False,False,False
63.28,True,False,False,False
63.38,True,False,False,False
63.48,True,False,False,False
63.58,True,False,False,False
63.68,True,False,False,False
63.78,True,False,False,False
63.88,True,False,False,False
63.98,False,False,False,False
64.08,False,False,False,False
64.18,False,False,False,False
64.28,False,False,False,False
64.38,False,False,False,False
64.49,False,False,False,False
64.59,False,False,False,False
64.69,False,False,False,False
64.79,False,False,False,False
64.89,False,False,False,False
64.99,False,False,False,False
65.09,False,False,False,False
65.19,False,False,False,False
65.29,False,False,False,False
65.39,False,False,False,False
65.49,False,False,False,False
65.59,False,False,False,False
65.69,False,False,False,False
65.79,False,False,False,False
65.89,False,False,False,False
65.99,False,False,False,False
66.09,False,False,False,False
66.19,False,False,False,False
66.29,False,True,False,False
66.39,False,True,False,False
66.49,False,True,False,False
66.59,False,True,False,False
66.69,False,True,False,False
66.79,False,True,False,False
66.89,False,True,False,False
67.02,False,True,False,False
67.12,False,True,False,False
67.22,False,True,False,False
67.32,False,True,False,False
67.42,False,True,False,False
67.52,False,True,False,False
67.62,False,True,False,False
67.72,False,True,False,False
67.82,False,True,False,False
67.92,False,True,False,False
68.02,False,True,False,False
68.12,False,True,False,False
68.22,False,True,False,False
68.32,False,False,False,False
68.43,False,False,False,False
68.53,False,False,False,False
68.63,False,False,False,False
68.73,False,False,False,False
68.83,False,False,False,False
68.93,False,False,False,False
69.03,False,False,False,False
69.13,False,False,False,False
69.23,False,False,False,False
69.33,False,False,False,False
69.43,False,False,False,False
69.53,False,False,False,False
69.63,False,False,False,False
69.73,False,False,False,False
69.83,False,False,False,False
69.93,False,False,False,False
70.03,False,False,False,False
70.13,False,False,False,False
70.23,False,False,False,False
70.33,False,False,False,False
70.43,False,False,False,False
70.53,False,False,False,False
70.63,False,False,False,False
70.73,False,False,False,False
70.83,False,False,False,False
70.94,False,False,False,False
71.04,False,False,False,False
71.14,False,False,False,False
71.24,False,False,False,False
71.34,False,False,False,False
71.44,False,False,False,False
71.54,False,False,False,False
71.64,True,False,False,False
71.74,True,False,False,False
71.84,True,False,False,False
71.94,True,False,False,False
72.05,True,False,False,False
72.15,True,False,False,False
72.25,True,False,False,False
72.35,True,False,False,False
72.45,True,False,False,False
72.55,True,False,False,False
72.65,True,False,False,False
72.75,True,False,False,False
72.85,True,False,False,False
72.95,True,False,False,False
73.05,True,False,False,False
73.15,True,False,False,False
73.25,True,False,False,False
73.35,True,False,False,False
73.45,False,False,False,False
73.55,False,False,False,False
73.65,False,False,False,False
73.75,False,False,False,False
73.86,False,False,False,False
73.96,False,False,False,False
74.06,False,False,False,False
74.16,False,False,False,False
74.26,False,False,False,False
74.36,False,False,False,False
74.46,False,False,False,False
74.56,False,False,False,False
74.66,False,False,False,False
74.76,False,False,False,False
74.86,False,False,False,False
74.96,False,False,False,False
75.06,False,False,False,False
75.16,False,False,False,False
75.26,False,False,False,False
75.36,False,False,False,False
75.46,False,False,False,False
75.56,False,False,False,False
75.66,False,False,False,False
75.76,False,False,False,False
75.86,False,False,False,False
75.96,False,True,False,False
76.06,False,True,False,False
76.16,False,True,False,False
76.26,False,True,False,False
76.36,False,True,False,False
76.46,False,True,False,True
76.57,False,True,False,False
76.67,False,True,False,False
76.77,False,True,False,False
76.87,False,True,False,False
76.97,False,True,False,False
77.07,False,True,False,False
77.17,False,True,False,False
77.27,False,True,False,False
77.37,False,True,False,False
77.47,False,True,False,False
77.57,False,True,False,False
77.67,False,True,False,False
77.77,False,True,False,False
77.87,False,False,False,False
77.97,False,False,False,False
78.07,False,False,False,False
78.17,False,False,False,False
78.27,False,False,False,False
78.37,False,False,False,False
78.47,False,False,False,False
78.57,False,False,False,False
78.67,False,False,False,False
78.77,False,False,False,False
78.87,False,False,False,False
78.98,False,False,False,False
79.08,False,False,False,False
79.18,False,False,False,False
79.28,False,False,False,False
79.38,False,False,False,False
79.48,False,False,False,False
79.58,False,False,False,False
79.68,False,False,False,False
79.78,False,False,False,False
79.88,False,False,False,False
79.98,False,False,False,False
80.08,False,False,False,False
80.18,False,False,False,False
80.28,False,False,False,False
80.38,False,False,False,False
80.48,False,False,False,False
80.58,False,False,False,False
80.68,False,False,False,False
80.78,False,False,False,False
80.88,False,False,False,False
80.98,False,False,False,False
81.08,False,False,False,False
81.18,False,False,False,False
81.28,False,False,False,False
81.39,False,False,False,False
81.49,False,False,False,False
81.59,False,False,False,False
81.69,False,False,False,False
81.79,False,False,False,False
81.89,False,False,False,False
81.99,False,False,False,False
82.09,False,False,False,False
82.19,False,False,False,False
82.29,False,False,False,False
82.39,False,False,False,False
82.49,False,False,False,False
82.59,False,False,False,False
82.69,False,False,False,False
82.79,False,False,False,False
82.89,False,False,False,False
83.0,False,False,False,False
83.1,False,False,False,False
83.2,False,False,False,False
83.3,False,False,False,False
83.4,False,False,False,False
83.5,False,False,False,False
83.6,False,False,False,False
83.7,False,False,False,False
83.8,False,False,False,False
83.9,False,False,False,False
84.0,False,False,False,False
84.1,False,False,False,False
84.2,False,False,False,False
84.3,False,False,False,False
84.4,False,False,False,False
84.5,False,False,False,False
84.6,False,False,False,False
84.7,False,False,False,False
84.8,False,False,False,False
84.9,False,False,False,False
85.0,False,False,False,False
85.1,False,False,False,False
85.2,False,False,False,False
85.3,False,False,False,False
85.41,False,False,False,False
85.51,True,False,False,False
85.61,True,False,False,False
85.71,True,False,False,False
85.81,True,False,False,False
85.91,True,False,False,False
86.01,True,False,True,False
86.11,True,False,False,False
86.21,True,False,False,False
86.31,True,False,False,False
86.41,True,False,False,False
86.51,True,False,False,False
86.61,True,False,False,False
86.71,True,False,False,False
86.81,True,False,False,False
86.91,True,False,False,False
87.01,True,False,False,False
87.11,True,False,False,False
87.21,False,False,False,False
87.31,False,False,False,False
87.41,False,False,False,False
87.51,False,False,False,False
87.61,False,False,False,False
87.71,False,False,False,False
87.81,False,False,False,False
87.91,False,False,False,False
88.01,False,False,False,False
88.11,False,False,False,False
88.21,False,False,False,False
88.31,False,False,False,False
88.41,False,False,False,False
88.52,False,False,False,False
88.62,False,False,False,False
88.72,False,False,False,False
88.82,False,False,False,False
88.92,False,False,False,False
89.02,False,False,False,False
89.12,False,False,False,False
89.22,False,False,False,False
89.32,False,False,False,False
89.42,False,False,False,False
89.52,False,False,False,False
89.62,False,False,False,False
89.72,False,False,False,False
89.82,False,False,False,False
89.92,False,True,False,False
90.02,False,True,False,False
90.12,False,True,False,False
90.22,False,True,False,False
