Time,Poke1,Poke2,Line1,Line2
0.12,True,False,False,False
0.22,True,False,False,False
0.32,True,False,False,False
0.42,True,False,False,False
0.52,True,False,False,False
0.62,True,False,False,False
0.72,False,False,False,False
0.82,False,False,False,False
0.92,False,False,False,False
1.02,False,False,False,False
1.12,False,False,False,False
1.22,False,False,False,False
1.33,False,False,False,False
1.43,False,False,False,False
1.53,False,False,False,False
1.63,False,False,False,False
1.73,False,False,False,False
1.83,False,False,False,False
1.93,False,False,False,False
2.03,False,False,False,False
2.13,False,False,False,False
2.23,False,False,False,False
2.33,False,False,False,False
2.43,False,False,False,False
2.53,False,False,False,False
2.63,False,False,False,False
2.73,False,False,False,False
2.83,False,False,False,False
2.93,False,False,False,False
3.03,False,False,False,False
3.13,False,False,False,False
3.23,False,False,False,False
3.33,False,False,False,False
3.43,False,False,False,False
3.53,False,False,False,False
3.63,False,False,False,False
3.73,False,False,False,False
3.83,False,False,False,False
3.93,False,False,False,False
4.03,False,False,False,False
4.13,False,False,False,False
4.23,False,False,False,False
4.33,False,False,False,False
4.43,False,False,False,False
4.53,False,False,False,False
4.63,False,False,False,False
4.73,False,False,False,False
4.84,False,False,False,False
4.94,False,False,False,False
5.04,False,False,False,False
5.15,False,False,False,False
5.25,False,False,False,False
5.35,False,False,False,False
5.45,False,False,False,False
5.55,False,False,False,False
5.65,False,False,False,False
5.75,False,False,False,False
5.85,False,True,False,False
5.95,False,True,False,False
6.05,False,True,False,False
6.15,False,True,False,False
6.25,False,True,False,False
6.35,False,True,False,False
6.45,False,True,False,False
6.55,False,True,False,False
6.65,False,True,False,False
6.75,False,False,False,False
6.85,False,True,False,False
6.95,False,True,False,False
7.05,False,True,False,False
7.15,False,True,False,False
7.25,False,True,False,False
7.35,False,True,False,False
7.45,False,True,False,False
7.56,False,True,False,False
7.66,False,True,False,False
7.76,False,True,False,False
7.86,False,True,False,False
7.96,False,True,False,False
8.06,False,True,False,False
8.16,False,False,False,False
8.26,False,False,False,False
8.36,False,False,False,False
8.46,False,False,False,False
8.56,False,False,False,False
8.66,False,False,False,False
8.76,False,False,False,False
8.86,False,False,False,False
8.96,False,False,False,False
9.06,False,False,False,False
9.16,False,False,False,False
9.26,False,False,False,False
9.36,False,False,False,False
9.46,False,False,False,False
9.56,False,False,False,False
9.66,False,False,False,False
9.76,False,False,False,False
9.86,False,False,False,False
9.96,False,False,False,False
10.06,False,False,False,False
10.16,False,False,False,False
10.26,False,False,False,False
10.36,False,False,False,False
10.46,False,False,False,False
10.56,False,False,False,False
10.66,False,False,False,False
10.76,False,False,False,False
10.86,False,False,False,False
10.96,False,False,False,False
11.06,False,False,False,False
11.17,False,False,False,False
11.27,False,False,False,False
11.37,False,False,False,False
11.47,False,False,False,False
11.57,False,False,False,False
11.67,False,False,False,False
11.77,False,False,False,False
11.87,False,False,False,False
11.97,False,False,False,False
12.07,False,False,False,False
12.17,False,False,False,False
12.27,False,False,False,False
12.37,False,False,False,False
12.47,False,False,False,False
12.57,True,False,False,False
12.67,True,False,False,False
12.77,True,False,False,False
12.87,True,False,False,False
12.97,True,False,False,False
13.07,True,False,False,False
13.17,True,False,False,False
13.27,True,False,False,False
13.37,True,False,False,False
13.47,True,False,False,False
13.57,True,False,False,False
13.67,True,False,False,False
13.77,True,False,False,False
13.87,True,False,False,False
13.97,True,False,False,False
14.07,True,False,False,False
14.17,True,False,False,False
14.27,False,False,False,False
14.37,False,False,False,False
14.47,False,False,False,False
14.58,False,False,False,False
14.68,False,False,False,False
14.78,False,False,False,False
14.88,False,False,False,False
14.98,False,False,False,False
15.08,False,False,False,False
15.18,False,False,False,False
15.28,False,False,False,False
15.38,False,False,False,False
15.48,False,False,False,False
15.58,False,False,False,False
15.68,False,False,False,False
15.78,False,False,False,False
15.88,False,False,False,False
15.98,False,False,False,False
16.08,False,False,False,False
16.18,False,False,False,False
16.28,False,False,False,False
16.38,False,False,False,False
16.48,False,False,False,False
16.58,False,False,False,False
16.68,False,False,False,False
16.78,False,False,False,False
16.88,False,False,False,False
16.99,False,False,False,False
17.09,False,False,False,False
17.19,False,False,False,False
17.29,False,False,False,False
17.39,False,False,False,False
17.49,False,False,False,False
17.59,False,False,False,False
17.69,False,False,False,False
17.79,False,False,False,False
17.89,False,False,False,False
17.99,False,False,False,False
18.09,False,False,False,False
18.19,False,False,False,False
18.29,False,False,False,False
18.39,False,False,False,False
18.49,False,False,False,False
18.59,False,False,False,False
18.69,False,False,False,False
18.79,False,False,False,False
18.89,False,False,False,False
18.99,False,False,False,False
19.09,False,False,False,False
19.19,False,False,False,False
19.29,False,False,False,False
19.39,False,False,False,False
19.49,False,False,False,False
19.59,False,False,False,False
19.69,False,False,False,False
19.79,False,False,False,False
19.89,False,False,False,False
19.99,False,False,False,False
20.09,False,False,False,False
20.2,False,False,False,False
20.3,False,False,False,False
20.4,False,False,False,False
20.5,False,False,False,False
20.6,False,False,False,False
20.7,False,False,False,False
20.8,False,False,False,False
20.9,False,False,False,False
21.0,False,False,False,False
21.1,False,False,False,False
21.2,False,False,False,False
21.3,False,False,False,False
21.4,False,False,False,False
21.5,False,False,False,False
21.6,False,False,False,False
21.7,False,False,False,False
21.8,False,False,False,False
21.9,False,False,False,False
22.0,False,False,False,False
22.1,False,False,False,False
22.2,False,False,False,False
22.3,False,False,False,False
22.4,False,False,False,False
22.5,False,False,False,False
22.6,False,False,False,False
22.7,False,False,False,False
22.81,False,False,False,False
22.91,False,False,False,False
23.01,False,False,False,False
23.11,False,False,False,False
23.21,False,False,False,False
23.31,False,False,False,False
23.41,False,False,False,False
23.51,False,False,False,False
23.61,False,False,False,False
23.71,False,False,False,False
23.81,False,False,False,False
23.91,False,False,False,False
24.01,False,False,False,False
24.11,False,False,False,False
24.21,False,False,False,False
24.31,False,False,False,False
24.41,False,False,False,False
24.51,False,False,False,False
24.61,False,False,False,False
24.71,False,False,False,False
