Time,Poke1,Poke2,Line1,Line2,Line3,Line4
0.05,False,False,False,False,False,False
0.16,False,False,False,False,False,False
0.26,False,False,False,False,False,False
0.36,False,False,False,False,False,False
0.46,False,False,False,False,False,False
0.56,False,False,False,False,False,False
0.66,False,False,False,False,False,False
0.76,False,False,False,False,False,False
0.86,False,False,False,False,False,False
0.96,False,False,False,False,False,False
1.06,False,False,False,False,False,False
1.16,False,False,False,False,False,False
1.26,False,False,False,False,False,False
1.36,False,False,False,False,False,False
1.46,False,False,False,False,False,False
1.56,False,False,False,False,False,False
1.66,False,False,False,False,False,False
1.76,False,False,False,False,False,False
1.86,False,False,False,False,False,False
1.96,False,False,False,False,False,False
2.06,False,False,False,False,False,False
2.16,False,False,False,False,False,False
2.26,False,False,False,False,False,False
2.36,False,False,False,False,False,False
2.46,False,False,False,False,False,False
2.56,False,False,False,False,False,False
2.66,False,False,False,False,False,False
2.76,False,False,False,False,False,False
2.86,False,False,False,False,False,False
2.96,False,False,False,False,False,False
3.06,False,False,False,False,False,False
3.16,False,False,False,False,False,False
3.26,False,False,False,False,False,False
3.36,False,False,False,False,False,False
3.46,False,False,False,False,False,False
3.56,False,False,False,False,False,False
3.66,False,False,False,False,False,False
3.77,False,False,False,False,False,False
3.87,False,False,False,False,False,False
3.97,False,False,False,False,False,False
4.07,False,False,False,False,False,False
4.17,False,False,False,False,False,False
4.27,False,False,False,False,False,False
4.37,False,False,False,False,False,False
4.47,False,False,False,False,False,False
4.57,False,False,False,False,False,False
4.67,False,False,False,False,False,False
4.77,False,False,False,False,False,False
4.87,False,False,False,False,False,False
4.97,False,False,False,False,False,False
5.07,False,False,False,False,False,False
5.17,False,False,False,False,False,False
5.27,False,False,False,False,False,False
5.39,False,False,False,False,False,False
5.49,False,False,False,False,False,False
5.59,False,False,False,False,False,False
5.69,False,False,False,False,False,False
5.79,False,False,False,False,False,False
5.89,False,False,False,False,False,False
5.99,False,False,False,False,False,False
6.09,False,False,False,False,False,False
6.19,False,False,False,False,False,False
6.29,False,False,False,False,False,False
6.39,False,False,False,False,False,False
6.49,False,False,False,False,False,False
6.59,False,False,False,False,False,False
6.69,False,False,False,False,False,False
6.79,False,False,False,False,False,False
6.89,False,False,False,False,False,False
6.99,False,False,False,False,False,False
7.09,False,False,False,False,False,False
7.19,False,False,False,False,False,False
7.29,False,False,False,False,False,False
7.39,False,False,False,False,False,False
7.49,False,False,False,False,False,False
7.59,False,False,False,False,False,False
7.69,False,False,False,False,False,False
7.79,False,False,False,False,False,False
7.9,False,False,False,False,False,False
8.0,False,False,False,False,False,False
8.1,False,False,False,False,False,False
8.2,False,False,False,False,False,False
8.3,False,False,False,False,False,False
8.4,False,True,False,False,False,False
8.5,False,True,False,False,False,False
8.6,False,True,False,False,False,False
8.7,False,True,False,False,False,False
8.8,False,True,False,False,False,False
8.91,False,True,False,False,False,False
9.01,False,True,False,False,False,False
9.11,False,True,False,False,False,False
9.21,False,False,False,False,False,False
9.31,False,False,False,False,False,False
9.41,False,False,False,False,False,False
9.51,False,False,False,False,False,False
9.61,False,False,False,False,False,False
9.71,False,False,False,False,False,False
9.81,False,False,False,False,False,False
9.91,False,False,False,False,False,False
10.01,False,False,False,False,False,False
10.11,False,False,False,False,False,False
10.21,False,False,False,False,False,False
10.31,False,False,False,False,False,False
10.41,False,False,False,False,False,False
10.51,False,False,False,False,False,False
10.61,False,False,False,False,False,False
10.71,False,False,False,False,False,False
10.81,False,False,False,False,False,False
10.91,False,False,False,False,False,False
11.01,False,False,False,False,False,False
11.11,False,False,False,False,False,False
11.21,False,False,False,False,False,False
11.31,False,False,False,False,False,False
11.41,False,False,False,False,False,False
11.51,False,False,False,False,False,False
11.62,False,False,False,False,False,False
11.72,False,False,False,False,False,False
11.82,False,False,False,False,False,False
11.92,False,False,False,False,False,False
12.02,False,False,False,False,False,False
12.12,False,False,False,False,False,False
12.22,False,False,False,False,False,False
12.32,False,False,False,False,False,False
12.42,False,False,False,False,False,False
12.52,False,False,False,False,False,False
12.62,False,False,False,False,False,False
12.72,False,False,False,False,False,False
12.82,False,False,False,False,False,False
12.92,False,False,False,False,False,False
13.02,False,False,False,False,False,False
13.12,False,False,False,False,False,False
13.22,False,False,False,False,False,False
13.32,False,False,False,False,False,False
13.42,False,False,False,False,False,False
13.52,False,False,False,False,False,False
13.62,False,False,False,False,False,False
13.72,False,False,False,False,False,False
13.82,False,False,False,False,False,False
13.92,False,False,False,False,False,False
14.02,False,False,False,False,False,False
14.13,False,False,False,False,False,False
14.23,False,False,False,False,False,False
14.33,False,False,False,False,False,False
14.44,False,False,False,False,False,False
14.54,False,False,False,False,False,False
14.64,False,False,False,False,False,False
14.74,False,False,False,False,False,False
14.84,False,False,False,False,False,False
14.94,False,False,False,False,False,False
15.04,False,False,False,False,False,False
15.14,False,False,False,False,False,False
15.24,False,False,False,False,False,False
15.34,False,False,False,False,False,False
15.44,False,False,False,False,False,False
15.54,False,False,False,False,False,False
15.64,True,False,False,False,False,False
15.74,True,False,False,False,False,False
15.84,True,False,False,False,False,False
15.94,True,False,False,False,False,False
16.04,True,False,False,False,False,False
16.14,True,False,False,False,False,False
16.24,True,False,False,False,False,False
16.34,False,False,False,False,False,False
16.44,True,False,False,False,False,False
16.54,True,False,False,False,False,False
16.64,True,False,False,False,False,False
16.74,True,False,False,False,False,False
16.84,False,False,False,False,False,False
16.95,False,False,False,False,False,False
17.05,False,False,False,False,False,False
17.15,False,False,False,False,False,False
17.25,False,False,False,False,False,False
17.35,False,False,False,False,False,False
17.45,False,False,False,False,False,False
17.55,False,False,False,False,False,False
17.65,False,False,False,False,False,False
17.75,False,False,False,False,False,False
17.85,False,False,False,False,False,False
17.95,False,False,False,False,False,False
18.05,False,False,False,False,False,False
18.15,False,False,False,False,False,False
18.25,False,False,False,False,False,False
18.35,False,False,False,False,False,False
18.45,False,False,False,False,False,False
18.55,False,False,False,False,False,False
18.65,False,True,False,False,False,False
18.75,False,True,False,False,False,False
18.85,False,False,False,False,False,False
18.95,False,False,False,False,False,False
19.05,False,False,False,False,False,False
19.15,False,True,False,False,False,False
19.25,False,True,False,False,False,False
19.35,False,True,False,False,False,False
19.46,False,True,False,False,False,False
19.56,False,True,False,False,False,False
19.66,False,True,False,False,False,False
19.76,False,True,False,False,False,False
19.86,False,False,False,False,False,False
19.96,False,False,False,False,False,False
20.06,False,False,False,False,False,False
20.16,False,False,False,False,False,False
20.26,False,False,False,False,False,False
20.36,False,False,False,False,False,False
20.46,False,False,False,False,False,False
20.56,False,False,False,False,False,False
20.66,False,False,False,False,False,False
20.76,False,False,False,False,False,False
20.86,False,False,False,False,False,False
20.96,False,False,False,False,False,False
21.06,False,False,False,False,False,False
21.16,False,False,False,False,False,False
21.26,False,False,False,False,False,False
21.36,False,False,False,False,False,False
21.46,False,False,False,False,False,False
21.56,False,False,False,False,False,False
21.66,False,False,False,False,False,False
21.76,False,False,False,False,False,False
21.86,False,False,False,False,False,False
21.96,False,False,False,False,False,False
22.06,False,False,False,False,False,False
22.16,False,False,False,False,False,False
22.26,False,False,False,False,False,False
22.36,False,False,False,False,False,False
22.46,False,False,False,False,False,False
22.56,False,False,False,False,False,False
22.67,False,False,False,False,False,False
22.77,False,False,False,False,False,False
22.87,False,False,False,False,False,False
22.97,False,False,False,False,False,False
23.07,False,False,False,False,False,False
23.17,False,False,False,False,False,False
23.27,False,False,False,False,False,False
23.37,False,False,False,False,False,False
23.47,False,False,False,False,False,False
23.57,False,False,False,False,False,False
23.67,False,False,False,False,False,False
23.77,False,False,False,False,False,False
23.87,False,False,False,False,False,False
23.97,False,False,False,False,False,False
24.07,False,False,False,False,False,False
24.17,False,False,False,False,False,False
24.27,False,False,False,False,False,False
24.37,False,False,False,False,False,False
24.47,False,False,False,False,False,False
24.57,False,False,False,False,False,False
24.67,False,False,False,False,False,False
24.77,False,False,False,False,False,False
24.87,False,False,False,False,False,False
24.97,False,False,False,False,False,False
25.07,False,False,False,False,False,False
25.17,False,False,False,False,False,False
25.27,False,False,False,False,False,False
25.38,False,False,False,False,False,False
25.48,False,False,False,False,False,False
25.58,False,False,False,False,False,False
25.68,False,False,False,False,False,False
25.78,False,False,False,False,False,False
25.88,False,False,False,False,False,False
25.98,False,False,False,False,False,False
26.08,False,False,False,False,False,False
26.18,False,False,False,False,False,False
26.28,False,False,False,False,False,False
26.38,False,False,False,False,False,False
26.48,False,False,False,False,False,False
26.58,False,False,False,False,False,False
26.68,False,False,False,False,False,False
26.78,False,False,False,False,False,False
26.88,False,False,False,False,False,False
26.98,False,False,False,False,False,False
27.08,False,True,False,False,False,False
27.18,False,True,False,False,False,False
27.28,False,True,False,False,False,False
27.38,False,False,False,False,False,False
27.48,False,False,False,False,False,False
27.58,False,False,False,False,False,False
27.68,False,False,False,False,False,False
27.78,False,False,False,False,False,False
27.89,False,False,False,False,False,False
27.99,False,False,False,False,False,False
28.09,False,False,False,False,False,False
28.19,False,False,False,False,False,False
28.29,False,False,False,False,False,False
28.39,False,False,False,False,False,False
28.49,False,False,False,False,False,False
28.59,False,False,False,False,False,False
28.69,False,False,False,False,False,False
28.79,False,False,False,False,False,False
28.89,False,False,False,False,False,False
28.99,False,False,False,False,False,False
29.09,False,False,False,False,False,False
29.19,False,False,False,False,False,False
29.29,False,False,False,False,False,False
29.39,False,False,False,False,False,False
29.49,False,False,False,False,False,False
29.59,False,False,False,False,False,False
29.69,False,False,False,False,False,False
29.79,False,False,False,False,False,False
29.89,False,False,False,False,False,False
29.99,False,False,False,False,False,False
30.09,False,False,False,False,False,False
30.19,False,False,False,False,False,False
30.29,False,False,False,False,False,False
30.39,False,False,False,False,False,False
30.49,False,False,False,False,False,False
30.59,False,False,False,False,False,False
30.7,False,False,False,False,False,False
30.8,False,False,False,False,False,False
30.9,False,False,False,False,False,False
31.0,False,False,False,False,False,False
31.1,False,False,False,False,False,False
31.2,False,False,False,False,False,False
31.3,False,False,False,False,False,False
31.4,False,False,False,False,False,False
31.5,False,False,False,False,False,False
31.6,False,False,False,False,False,False
31.7,False,False,False,False,False,False
31.8,False,False,False,False,False,False
31.9,False,False,False,False,False,False
32.0,False,False,False,False,False,False
32.1,False,False,False,False,False,False
32.2,False,False,False,False,False,False
32.3,False,False,False,False,False,False
32.4,False,False,False,False,False,False
32.5,False,False,False,False,False,False
32.6,False,False,False,False,False,False
32.7,False,False,False,False,False,False
32.8,False,False,False,False,False,False
32.9,False,False,False,False,False,False
33.0,False,False,False,False,False,False
33.1,False,False,False,False,False,False
33.2,False,False,False,False,False,False
33.31,False,False,False,False,False,False
33.41,False,False,False,False,False,False
33.51,False,False,False,False,False,False
33.61,False,False,False,False,False,False
33.71,False,False,False,False,False,False
33.81,False,False,False,False,False,False
33.91,False,False,False,False,False,False
34.01,False,False,False,False,False,False
34.11,False,False,False,False,False,False
34.21,False,False,False,False,False,False
34.31,False,False,False,False,False,False
34.41,False,False,False,False,False,False
34.51,False,False,False,False,False,False
34.61,False,False,False,False,False,False
34.71,False,False,False,False,False,False
34.81,False,False,False,False,False,False
34.91,False,False,False,False,False,False
35.01,False,False,False,False,False,False
35.11,False,False,False,False,False,False
35.21,False,False,False,False,False,False
35.31,False,False,False,False,False,False
35.41,False,False,False,False,False,False
35.51,False,False,False,False,False,False
35.61,False,False,False,False,False,False
35.71,False,False,False,False,False,False
35.81,False,False,False,False,False,False
35.92,False,False,False,False,False,False
36.02,False,False,False,False,False,False
36.12,False,False,False,False,False,False
36.22,False,False,False,False,False,False
36.32,False,False,False,False,False,False
36.42,False,False,False,False,False,False
36.52,False,False,False,False,False,False
36.62,False,False,False,False,False,False
36.72,False,False,False,False,False,False
36.82,False,False,False,False,False,False
36.92,False,False,False,False,False,False
37.02,False,False,False,False,False,False
37.12,False,False,False,False,False,False
37.22,False,False,False,False,False,False
37.32,False,False,False,False,False,False
37.42,False,False,False,False,False,False
37.52,True,False,False,False,False,False
37.62,True,False,False,False,False,False
37.72,True,False,False,False,False,False
37.82,True,False,False,False,False,False
37.92,True,False,False,False,False,False
38.02,True,False,False,False,False,False
38.12,True,False,False,False,False,False
38.22,False,False,False,False,False,False
38.32,False,False,False,False,False,False
38.42,False,False,False,False,False,False
38.52,False,False,False,False,False,False
38.63,False,False,False,False,False,False
38.73,False,False,False,False,False,False
38.83,False,False,False,False,False,False
38.93,False,False,False,False,False,False
39.03,False,False,False,False,False,False
39.13,False,False,False,False,False,False
39.23,False,False,False,False,False,False
39.33,False,False,False,False,False,False
39.43,False,False,False,False,False,False
39.53,False,False,False,False,False,False
39.63,False,False,False,False,False,False
39.73,False,False,False,False,False,False
39.83,False,False,False,False,False,False
39.93,False,False,False,False,False,False
40.03,False,False,False,False,False,False
40.13,False,False,False,False,False,False
40.23,False,False,False,False,False,False
40.33,False,False,False,False,False,False
40.43,False,False,False,False,False,False
40.53,False,False,False,False,False,False
40.63,False,False,False,False,False,False
40.73,False,False,False,False,False,False
40.83,False,False,False,False,False,False
40.93,False,False,False,False,False,False
41.03,False,False,False,False,False,False
41.13,False,False,False,False,False,False
41.23,False,False,False,False,False,False
41.33,False,False,False,False,False,False
41.43,False,False,False,False,False,False
41.54,False,False,False,False,False,False
41.64,False,False,False,False,False,False
41.74,False,False,False,False,False,False
41.84,False,False,False,False,False,False
41.94,False,False,False,False,False,False
42.04,False,False,False,False,False,False
42.14,False,False,False,False,False,False
42.24,False,False,False,False,False,False
42.34,False,False,False,False,False,False
42.44,False,False,False,False,False,False
42.54,False,False,False,False,False,False
42.64,False,False,False,False,False,False
42.74,False,False,False,False,False,False
42.84,False,False,False,False,False,False
42.94,False,False,False,False,False,False
43.04,False,False,False,False,False,False
43.14,False,False,False,False,False,False
43.24,False,False,False,False,False,False
43.34,False,False,False,False,False,False
43.44,False,False,False,False,False,False
43.54,False,False,False,False,False,False
43.64,False,False,False,False,False,False
43.74,False,False,False,False,False,False
43.84,False,False,False,False,False,False
43.94,False,False,False,False,False,False
44.04,False,False,False,False,False,False
44.14,False,False,False,False,False,False
44.24,False,False,False,False,False,False
44.34,False,False,False,False,False,False
44.44,False,False,False,False,False,False
44.54,False,False,False,False,False,False
44.64,False,False,False,False,False,False
44.74,False,False,False,False,False,False
44.85,False,False,False,False,False,False
44.95,False,False,False,False,False,False
45.05,False,False,False,False,False,False
45.15,False,False,False,False,False,False
45.25,False,False,False,False,False,False
45.35,False,False,False,False,False,False
45.45,False,False,False,False,False,False
45.55,False,False,False,False,False,False
45.65,False,False,False,False,False,False
45.75,False,False,False,False,False,False
45.85,False,False,False,False,False,False
45.95,False,False,False,False,False,False
46.05,False,False,False,False,False,False
46.15,False,False,False,False,False,False
46.25,False,False,False,False,False,False
46.35,False,False,False,False,False,False
46.45,False,False,False,False,False,False
46.55,False,False,False,False,False,False
46.65,False,False,False,False,False,False
46.75,False,False,False,False,False,False
46.85,False,False,False,False,False,False
46.95,False,False,False,False,False,False
47.05,False,False,False,False,False,False
47.15,False,False,False,False,False,False
47.25,False,False,False,False,False,False
47.36,False,False,False,False,False,False
47.46,False,False,False,False,False,False
47.56,False,False,False,False,False,False
47.66,False,False,False,False,False,False
47.76,False,False,False,False,False,False
47.86,False,False,False,False,False,False
47.96,False,False,False,False,False,False
48.06,False,False,False,False,False,False
48.16,False,False,False,False,False,False
48.26,False,False,False,False,False,False
48.36,False,False,False,False,False,False
48.46,False,False,False,False,False,False
48.56,False,False,False,False,False,False
48.66,False,False,False,False,False,False
48.76,False,False,False,False,False,False
48.86,False,False,False,False,False,False
48.96,False,False,False,False,False,False
49.06,False,False,False,False,False,False
49.16,False,False,False,False,False,False
49.26,False,False,False,False,False,False
49.36,False,False,False,False,False,False
49.46,False,False,False,False,False,False
49.56,False,False,False,False,False,False
49.66,False,False,False,False,False,False
49.76,False,False,False,False,False,False
49.87,False,False,False,False,False,False
49.97,False,False,False,False,False,False
50.07,False,False,False,False,False,False
50.17,False,False,False,False,False,False
50.27,False,False,False,False,False,False
50.37,False,False,False,False,False,False
50.47,False,False,False,False,False,False
50.57,False,False,False,False,False,False
50.67,False,False,False,False,False,False
50.77,False,False,False,False,False,False
50.87,False,False,False,False,False,False
50.97,False,False,False,False,False,False
52.44,False,False,False,False,False,False
52.54,False,False,False,False,False,False
52.64,False,False,False,False,False,False
52.74,False,False,False,False,False,False
52.84,False,False,False,False,False,False
52.94,False,False,False,False,False,False
53.04,False,False,False,False,False,False
53.14,False,False,False,False,False,False
53.24,False,False,False,False,False,False
53.34,False,False,False,False,False,False
