Time,Poke1,Poke2,Line1,Line2
0.07,False,False,False,False
0.17,False,False,False,False
0.27,False,False,False,False
0.37,False,False,False,False
0.47,False,False,False,False
0.57,False,False,False,False
0.67,False,False,False,False
0.77,False,False,False,False
0.87,False,False,False,False
0.97,False,False,False,False
1.07,False,False,False,False
1.17,False,False,False,False
1.27,False,False,False,False
1.37,False,False,False,False
1.47,False,False,False,False
1.57,False,False,False,False
1.67,False,False,False,False
1.77,False,False,False,False
1.87,False,False,False,False
1.97,False,False,False,False
2.07,False,False,False,False
2.17,False,False,False,False
2.27,False,False,False,False
2.37,False,False,False,False
2.47,False,False,False,False
2.57,False,False,False,False
2.67,False,False,False,False
2.77,False,False,False,False
2.87,False,False,False,False
2.97,False,False,False,False
3.07,False,False,False,False
3.17,False,False,False,False
3.28,False,False,False,False
3.38,False,False,False,False
3.48,False,False,False,False
3.58,False,False,False,False
3.68,False,False,False,False
3.78,False,False,False,False
3.88,False,False,False,False
3.98,False,False,False,False
4.08,False,False,False,False
4.18,False,False,False,False
4.28,False,False,False,False
4.38,False,False,False,False
4.48,False,False,False,False
4.58,False,False,False,False
4.68,False,False,False,False
4.78,False,False,False,False
4.88,False,False,False,False
4.98,False,False,False,False
5.08,False,False,False,False
5.18,False,False,False,False
5.28,False,False,False,False
5.38,False,False,False,False
5.48,False,False,False,False
5.58,False,False,False,False
5.68,False,False,False,False
5.78,False,False,False,False
5.88,False,False,False,False
5.98,False,False,False,False
6.08,False,False,False,False
6.18,False,False,False,False
6.28,False,False,False,False
6.38,False,False,False,False
6.48,False,False,False,False
6.58,False,False,False,False
6.68,False,False,False,False
6.78,False,False,False,False
6.88,False,False,False,False
6.98,False,False,False,False
7.08,False,False,False,False
7.18,False,False,False,False
7.28,False,False,False,False
7.39,False,False,False,False
7.49,False,False,False,False
7.59,False,False,False,False
7.69,False,False,False,False
7.79,False,False,False,False
7.89,False,False,False,False
7.99,False,False,False,False
8.09,False,False,False,False
8.19,False,False,False,False
8.29,False,False,False,False
8.39,False,False,False,False
8.49,False,False,False,False
8.59,False,False,False,False
8.69,False,False,False,False
8.79,False,False,False,False
8.89,False,False,False,False
8.99,False,False,False,False
9.09,False,False,False,False
9.19,False,False,False,False
9.29,False,False,False,False
9.39,False,False,False,False
9.49,False,False,False,False
9.59,False,False,False,False
9.69,False,False,False,False
9.79,False,False,False,False
9.89,False,False,False,False
9.99,False,False,False,False
10.09,False,False,False,False
10.19,False,False,False,False
10.29,False,False,False,False
10.39,False,False,False,False
10.49,False,False,False,False
10.59,False,False,False,False
10.69,False,False,False,False
10.79,False,False,False,False
10.89,False,False,False,False
10.99,False,False,False,False
11.09,False,False,False,False
11.19,False,False,False,False
11.29,False,False,False,False
11.4,False,False,False,False
11.5,False,False,False,False
