Time,Poke1,Poke2,Line1,Line2
0.07,False,False,False,False
0.17,False,False,False,False
0.27,False,False,False,False
0.37,False,False,False,False
0.47,False,False,False,False
0.57,False,False,False,False
0.68,False,False,False,False
0.78,False,False,False,False
0.88,False,False,False,False
0.98,False,False,False,False
1.08,False,False,False,False
1.18,False,False,False,False
1.28,False,False,False,False
1.38,False,False,False,False
1.48,False,False,False,False
1.58,False,False,False,False
1.68,False,False,False,False
1.78,False,False,False,False
1.88,False,False,False,False
1.98,False,False,False,False
2.08,False,False,False,False
2.18,False,False,False,False
2.28,False,False,False,False
2.38,False,False,False,False
2.48,False,False,False,False
2.58,False,False,False,False
2.68,False,False,False,False
2.78,False,False,False,False
2.88,False,False,False,False
2.98,False,False,False,False
3.08,False,False,False,False
3.18,False,False,False,False
3.28,False,False,False,False
3.38,False,False,False,False
3.48,False,False,False,False
3.58,False,False,False,False
3.68,False,False,False,False
3.78,False,False,False,False
3.88,False,False,False,False
3.98,False,False,False,False
4.08,False,False,False,False
4.18,False,False,False,False
4.28,False,False,False,False
4.39,False,False,False,False
4.49,False,False,False,False
4.59,False,False,False,False
4.69,False,False,False,False
4.79,False,False,False,False
4.89,False,False,False,False
4.99,False,False,False,False
5.09,False,False,False,False
5.2,False,False,False,False
5.3,False,False,False,False
5.4,False,False,False,False
5.5,False,False,False,False
5.6,False,False,False,False
5.7,False,False,False,False
5.8,False,False,False,False
5.9,False,False,False,False
6.0,False,False,False,False
6.1,False,False,False,False
6.2,False,False,False,False
6.3,False,False,False,False
6.4,False,False,False,False
6.5,False,False,False,False
6.6,False,False,False,False
6.7,False,False,False,False
6.8,False,False,False,False
6.9,False,False,False,False
7.0,False,False,False,False
7.1,False,False,False,False
7.2,False,False,False,False
7.3,False,False,False,False
7.4,False,False,False,False
7.5,False,False,False,False
7.6,False,False,False,False
7.7,False,False,False,False
7.8,False,False,False,False
7.91,False,False,False,False
8.01,False,False,False,False
8.11,False,False,False,False
8.21,False,False,False,False
8.31,False,False,False,False
8.41,False,False,False,False
8.51,False,False,False,False
8.61,False,False,False,False
8.71,False,False,False,False
8.81,False,False,False,False
8.91,False,False,False,False
9.01,False,False,False,False
9.11,False,False,False,False
9.21,False,False,False,False
9.31,False,False,False,False
9.41,False,False,False,False
9.51,False,False,False,False
9.61,False,False,False,False
9.71,False,False,False,False
9.81,False,False,False,False
9.91,False,False,False,False
10.01,False,False,False,False
10.11,False,False,False,False
10.22,False,False,False,False
10.32,False,False,False,False
10.42,False,False,False,False
10.52,False,False,False,False
10.62,False,False,False,False
10.72,False,False,False,False
10.82,False,False,False,False
10.92,False,False,False,False
11.02,False,False,False,False
11.12,False,False,False,False
11.22,False,False,False,False
11.32,False,False,False,False
11.42,False,False,False,False
11.52,False,False,False,False
