Time,Poke1,Poke2,Line1,Line2,Line3,Line4
0.12,False,False,False,False,False,False
0.23,False,False,False,False,False,False
0.33,False,False,False,False,False,False
0.43,False,False,False,False,False,False
0.53,False,False,False,False,False,False
0.63,False,False,False,False,False,False
0.73,False,False,False,False,False,False
0.83,False,False,False,False,False,False
0.93,False,False,False,False,False,False
1.03,False,False,False,False,False,False
1.13,False,False,False,False,False,False
1.23,False,False,False,False,False,False
1.33,False,False,False,False,False,False
1.43,False,False,False,False,False,False
1.53,False,False,False,False,False,False
1.63,False,False,False,False,False,False
1.73,False,False,False,False,False,False
1.83,False,True,False,False,False,False
1.93,False,True,False,False,False,False
2.03,False,True,False,False,False,False
2.13,False,True,False,False,False,False
2.23,False,True,False,False,False,False
2.33,False,True,False,False,False,False
2.43,False,True,False,False,False,False
2.53,False,True,False,False,False,False
2.63,False,True,False,False,False,False
2.73,False,True,False,False,False,False
2.83,False,True,False,False,False,False
2.93,False,True,False,False,False,False
3.03,False,True,False,False,False,False
3.14,False,True,False,False,False,False
3.24,False,True,False,False,False,False
3.34,False,True,False,False,False,False
3.44,False,True,False,False,False,False
3.54,False,True,False,False,False,False
3.64,False,True,False,False,False,False
3.74,False,True,False,False,False,False
3.84,False,True,False,False,False,False
3.94,False,True,False,False,False,False
4.04,False,True,False,False,False,False
4.14,False,True,False,False,False,False
4.24,False,True,False,False,False,False
4.34,False,True,False,False,False,False
4.44,False,True,False,False,False,False
4.54,False,True,False,False,False,False
4.64,False,True,False,False,False,False
4.74,False,True,False,False,False,False
4.84,False,True,False,False,False,False
4.94,False,True,False,False,False,False
5.04,False,True,False,False,False,False
5.14,False,True,False,False,False,False
5.25,False,True,False,False,False,False
5.35,False,True,False,False,False,False
5.45,False,True,False,False,False,False
5.55,False,True,False,False,False,False
5.65,False,True,False,False,False,False
5.75,False,True,False,False,False,False
5.85,False,True,False,False,False,False
5.95,False,True,False,False,False,False
6.05,False,True,False,False,False,False
6.15,False,True,False,False,False,False
6.25,False,True,False,False,False,False
6.35,False,True,False,False,False,False
6.45,False,True,False,False,False,False
6.55,False,True,False,False,False,False
6.65,False,True,False,False,False,False
6.75,False,True,False,False,False,False
6.85,False,True,False,False,False,False
6.95,False,True,False,False,False,False
7.05,False,True,False,False,False,False
7.15,False,True,False,False,False,False
7.25,False,True,False,False,False,False
7.35,False,True,False,False,False,False
7.45,False,True,False,False,False,False
7.55,False,True,False,False,False,False
7.65,False,True,False,False,False,False
7.75,False,True,False,False,False,False
7.86,False,True,False,False,False,False
7.96,False,False,False,False,False,False
8.06,False,False,False,False,False,False
8.16,False,False,False,False,False,False
8.26,False,False,False,False,False,False
8.36,False,False,False,False,False,False
8.46,False,False,False,False,False,False
8.56,False,False,False,False,False,False
8.66,False,False,False,False,False,False
8.76,False,False,False,False,False,False
8.86,False,False,False,False,False,False
8.96,False,False,False,False,False,False
9.06,False,False,False,False,False,False
9.16,False,False,False,False,False,False
9.26,False,False,False,False,False,False
9.36,False,False,False,False,False,False
9.46,False,False,False,False,False,False
9.56,False,False,False,False,False,False
9.66,False,False,False,False,False,False
9.76,False,False,False,False,False,False
9.86,False,False,False,False,False,False
9.96,False,False,False,False,False,False
10.06,False,False,False,False,False,False
10.16,False,False,False,False,False,False
10.26,False,False,False,False,False,False
10.36,False,False,False,False,False,False
10.46,False,False,False,False,False,False
10.56,False,False,False,False,False,False
10.66,False,False,False,False,False,False
10.76,False,False,False,False,False,False
10.87,False,False,False,False,False,False
10.97,False,False,False,False,False,False
11.07,False,False,False,False,False,False
11.17,False,False,False,False,False,False
11.27,True,False,False,False,False,False
11.37,True,False,False,False,False,False
11.47,True,False,False,False,False,False
11.57,True,False,False,False,False,False
11.67,True,False,False,False,False,False
11.77,True,False,False,False,False,False
11.87,True,False,False,False,False,False
11.97,True,False,False,False,False,False
12.07,True,False,False,False,False,False
12.17,True,False,False,False,False,False
12.27,True,False,False,False,False,False
12.37,True,False,False,False,False,False
12.47,True,False,False,False,False,False
12.57,True,False,False,False,False,False
12.67,True,False,False,False,False,False
12.77,True,False,False,False,False,False
12.87,True,False,False,False,False,False
12.97,True,False,False,False,False,False
13.07,True,False,False,False,False,False
13.17,True,False,False,False,False,False
13.28,True,False,False,False,False,False
13.38,True,False,False,False,False,False
13.48,True,False,False,False,False,False
13.58,True,False,False,False,False,False
13.68,False,False,False,False,False,False
13.78,True,False,False,False,False,False
13.88,True,False,False,False,False,False
13.98,True,False,False,False,False,False
14.08,True,False,False,False,False,False
14.18,True,False,False,False,False,False
14.28,True,False,False,False,False,False
14.38,True,False,False,False,False,False
14.48,True,False,False,False,False,False
14.58,True,False,False,False,False,False
14.68,True,False,False,False,False,False
14.78,True,False,False,False,False,False
14.88,True,False,False,False,False,False
14.98,True,False,False,False,False,False
15.08,True,False,False,False,False,False
15.18,True,False,False,False,False,False
15.28,True,False,False,False,False,False
15.38,True,False,False,False,False,False
15.48,True,False,False,False,False,False
15.58,False,False,False,False,False,False
15.68,False,False,False,False,False,False
15.78,False,False,False,False,False,False
15.88,False,False,False,False,False,False
15.98,False,False,False,False,False,False
16.09,False,False,False,False,False,False
16.19,False,False,False,False,False,False
16.29,False,False,False,False,False,False
16.39,False,False,False,False,False,False
16.49,False,False,False,False,False,False
16.59,False,False,False,False,False,False
16.69,False,False,False,False,False,False
16.79,False,False,False,False,False,False
16.89,False,False,False,False,False,False
16.99,False,False,False,False,False,False
17.09,False,False,False,False,False,False
17.19,False,False,False,False,False,False
17.29,False,False,False,False,False,False
17.39,False,False,False,False,False,False
17.49,False,False,False,False,False,False
17.59,False,False,False,False,False,False
17.69,False,False,False,False,False,False
17.79,False,False,False,False,False,False
17.89,False,False,False,False,False,False
17.99,False,False,False,False,False,False
18.09,False,False,False,False,False,False
18.19,False,False,False,False,False,False
18.29,False,False,False,False,False,False
18.39,False,False,False,False,False,False
18.49,False,False,False,False,False,False
18.59,False,False,False,False,False,False
18.69,False,False,False,False,False,False
18.8,False,False,False,False,False,False
18.9,False,False,False,False,False,False
19.0,False,False,False,False,False,False
19.1,False,False,False,False,False,False
19.2,False,False,False,False,False,False
19.3,False,False,False,False,False,False
19.4,False,False,False,False,False,False
19.5,False,False,False,False,False,False
19.6,False,False,False,False,False,False
19.7,False,False,False,False,False,False
19.8,False,False,False,False,False,False
19.9,False,False,False,False,False,False
20.0,False,False,False,False,False,False
20.1,False,False,False,False,False,False
20.2,False,False,False,False,False,False
20.3,False,False,False,False,False,False
20.4,False,False,False,False,False,False
20.5,False,False,False,False,False,False
20.6,False,False,False,False,False,False
20.7,False,False,False,False,False,False
20.8,False,False,False,False,False,False
20.91,False,False,False,False,False,False
21.01,False,False,False,False,False,False
21.11,False,False,False,False,False,False
21.21,False,False,False,False,False,False
21.31,False,False,False,False,False,False
21.41,False,False,False,False,False,False
21.51,False,False,False,False,False,False
21.61,False,False,False,False,False,False
21.71,False,False,False,False,False,False
21.81,False,False,False,False,False,False
21.91,False,False,False,False,False,False
22.01,False,False,False,False,False,False
22.11,False,False,False,False,False,False
22.21,False,False,False,False,False,False
22.31,False,False,False,False,False,False
22.41,False,False,False,False,False,False
22.51,False,False,False,False,False,False
22.61,False,False,False,False,False,False
22.71,False,False,False,False,False,False
22.81,False,False,False,False,False,False
22.91,False,False,False,False,False,False
23.01,False,False,False,False,False,False
23.11,False,False,False,False,False,False
23.21,False,False,False,False,False,False
23.31,False,False,False,False,False,False
23.41,False,False,False,False,False,False
23.51,False,False,False,False,False,False
23.61,False,False,False,False,False,False
23.72,False,False,False,False,False,False
23.82,False,False,False,False,False,False
23.92,False,False,False,False,False,False
24.02,False,False,False,False,False,False
24.12,False,False,False,False,False,False
24.22,False,False,False,False,False,False
24.32,False,False,False,False,False,False
24.42,False,False,False,False,False,False
24.52,False,False,False,False,False,False
24.62,False,False,False,False,False,False
24.72,False,False,False,False,False,False
24.82,False,False,False,False,False,False
24.92,False,False,False,False,False,False
25.02,False,False,False,False,False,False
25.12,False,False,False,False,False,False
25.22,False,False,False,False,False,False
25.32,False,False,False,False,False,False
25.44,False,False,False,False,False,False
25.54,False,False,False,False,False,False
25.64,False,False,False,False,False,False
25.75,False,False,False,False,False,False
25.85,False,False,False,False,False,False
25.95,False,False,False,False,False,False
26.05,False,False,False,False,False,False
26.15,False,False,False,False,False,False
26.25,False,False,False,False,False,False
26.35,False,False,False,False,False,False
26.45,False,False,False,False,False,False
26.55,False,False,False,False,False,False
