Time,Poke1,Poke2,Line1,Line2
0.064,False,False,False,False
0.075,False,False,False,False
0.085,False,False,False,False
0.098,False,False,False,False
0.108,False,False,False,False
0.119,False,False,False,False
0.129,False,False,False,False
0.139,False,False,False,False
0.15,False,False,False,False
0.16,False,False,False,False
0.17,False,False,False,False
0.181,False,False,False,False
0.191,False,False,False,False
0.202,False,False,False,False
0.212,False,False,False,False
0.223,False,False,False,False
0.233,False,False,False,False
0.243,False,False,False,False
0.254,False,False,False,False
0.264,False,False,False,False
0.274,False,False,False,False
0.285,False,False,False,False
0.295,False,False,False,False
0.305,False,False,False,False
0.316,False,False,False,False
0.326,False,False,False,False
0.336,False,False,False,False
0.346,False,False,False,False
0.357,False,False,False,False
0.367,False,False,False,False
0.377,False,False,False,False
0.388,False,False,False,False
0.398,False,False,False,False
0.408,False,False,False,False
0.419,False,False,False,False
0.429,False,False,False,False
0.439,False,False,False,False
0.45,False,False,False,False
0.46,False,False,False,False
0.47,False,False,False,False
0.48,False,False,False,False
0.491,False,False,False,False
0.501,False,False,False,False
0.512,False,False,False,False
0.522,False,False,False,False
0.532,False,False,False,False
0.542,False,False,False,False
0.553,False,False,False,False
0.563,False,False,False,False
0.573,False,False,False,False
0.583,False,False,False,False
0.593,False,False,False,False
0.604,False,False,False,False
0.618,False,False,False,False
0.629,False,False,False,False
0.639,False,False,False,False
0.649,False,False,False,False
0.66,False,False,False,False
0.67,False,False,False,False
0.68,False,False,False,False
0.691,False,False,False,False
0.701,False,False,False,False
0.711,False,False,False,False
0.721,False,False,False,False
0.732,False,False,False,False
0.742,False,False,False,False
0.752,False,False,False,False
0.762,False,False,False,False
0.773,False,False,False,False
0.783,False,False,False,False
0.793,False,False,False,False
0.803,False,False,False,False
0.814,False,False,False,False
0.824,False,False,False,False
0.834,False,False,False,False
0.844,False,False,False,False
0.855,False,False,False,False
0.865,False,False,False,False
0.875,False,False,False,False
0.887,False,False,False,False
0.897,False,False,False,False
0.908,False,False,False,False
0.918,False,False,False,False
0.928,False,False,False,False
0.938,False,False,False,False
0.949,False,False,False,False
0.959,False,False,False,False
0.969,False,False,False,False
0.979,False,False,False,False
0.99,False,False,False,False
1.0,False,False,False,False
1.01,False,False,False,False
1.021,False,False,False,False
1.031,False,False,False,False
1.041,False,False,False,False
1.051,False,False,False,False
1.062,False,False,False,False
1.072,False,False,False,False
1.082,False,False,False,False
1.092,False,False,False,False
1.102,False,False,False,False
1.112,False,False,False,False
1.123,False,False,False,False
1.133,False,False,False,False
1.143,False,False,False,False
1.153,False,False,False,False
1.164,False,False,False,False
1.174,False,False,False,False
1.184,False,False,False,False
1.194,False,False,False,False
1.205,False,False,False,False
1.215,False,False,False,False
1.225,False,False,False,False
1.235,False,False,False,False
1.245,False,False,False,False
1.255,False,False,False,False
1.266,False,False,False,False
1.276,False,False,False,False
1.286,False,False,False,False
1.296,False,False,False,False
1.306,False,False,False,False
1.316,False,False,False,False
1.326,False,False,False,False
1.336,False,False,False,False
1.346,False,False,False,False
1.357,False,False,False,False
1.367,False,False,False,False
1.377,False,False,False,False
1.387,False,False,False,False
1.397,False,False,False,False
1.407,False,False,False,False
1.417,False,False,False,False
1.427,False,False,False,False
1.438,False,False,False,False
1.448,False,False,False,False
1.458,False,False,False,False
1.468,False,False,False,False
1.478,False,False,False,False
1.488,False,False,False,False
1.498,False,False,False,False
1.508,False,False,False,False
1.519,False,False,False,False
1.529,False,False,False,False
1.539,False,False,False,False
1.549,False,False,False,False
1.559,False,False,False,False
1.569,False,False,False,False
1.579,False,False,False,False
1.589,False,False,False,False
1.6,False,False,False,False
1.61,False,False,False,False
1.62,False,False,False,False
1.63,False,False,False,False
1.64,False,False,False,False
1.65,False,False,False,False
1.66,False,False,False,False
1.671,False,False,False,False
1.681,False,False,False,False
1.691,False,False,False,False
1.701,False,False,False,False
1.711,False,False,False,False
1.721,False,False,False,False
1.731,False,False,False,False
1.741,False,False,False,False
1.752,False,False,False,False
1.762,False,False,False,False
1.772,False,False,False,False
1.782,False,False,False,False
1.792,False,False,False,False
1.802,False,False,False,False
1.812,False,False,False,False
1.822,False,False,False,False
1.833,False,False,False,False
1.843,False,False,False,False
1.853,False,False,False,False
1.863,False,False,False,False
1.873,False,False,False,False
1.883,False,False,False,False
1.893,False,False,False,False
1.904,False,False,False,False
1.914,False,False,False,False
1.924,False,False,False,False
1.934,False,False,False,False
1.944,False,False,False,False
1.954,False,False,False,False
1.964,False,False,False,False
1.974,False,False,False,False
1.984,False,False,False,False
1.995,False,False,False,False
2.005,False,False,False,False
2.015,False,False,False,False
2.025,False,False,False,False
2.035,False,False,False,False
2.045,False,False,False,False
2.055,False,False,False,False
2.065,False,False,False,False
2.076,False,False,False,False
2.086,False,False,False,False
2.096,False,False,False,False
2.106,False,False,False,False
2.116,False,False,False,False
2.126,False,False,False,False
2.136,False,False,False,False
2.146,False,False,False,False
2.156,False,False,False,False
2.167,False,False,False,False
2.177,False,False,False,False
2.187,False,False,False,False
2.197,False,False,False,False
2.207,False,False,False,False
2.217,False,False,False,False
2.227,False,False,False,False
2.237,False,False,False,False
2.248,False,False,False,False
2.258,False,False,False,False
2.268,False,False,False,False
2.278,False,False,False,False
2.288,False,False,False,False
2.298,False,False,False,False
2.308,False,False,False,False
2.318,False,False,False,False
2.329,False,False,False,False
2.339,False,False,False,False
2.349,False,False,False,False
2.359,False,False,False,False
2.369,False,False,False,False
2.379,False,False,False,False
2.389,False,False,False,False
2.399,False,False,False,False
2.409,False,False,False,False
2.42,False,False,False,False
2.43,False,False,False,False
2.44,False,False,False,False
2.45,False,False,False,False
2.46,False,False,False,False
2.47,False,False,False,False
2.48,False,False,False,False
2.491,False,False,False,False
2.501,False,False,False,False
2.511,False,False,False,False
2.521,False,False,False,False
2.531,False,False,False,False
2.541,False,False,False,False
2.551,False,False,False,False
2.561,False,False,False,False
2.572,False,False,False,False
2.582,False,False,False,False
2.592,False,False,False,False
2.602,False,False,False,False
2.612,False,False,False,False
2.622,False,False,False,False
2.632,False,False,False,False
2.643,False,False,False,False
2.653,False,False,False,False
2.663,False,False,False,False
2.673,False,False,False,False
2.683,False,False,False,False
2.693,False,False,False,False
2.703,False,False,False,False
2.713,False,False,False,False
2.724,False,False,False,False
2.734,False,False,False,False
2.744,False,False,False,False
2.754,False,False,False,False
2.764,False,False,False,False
2.774,False,False,False,False
2.784,False,False,False,False
2.794,False,False,False,False
2.804,False,False,False,False
2.815,False,False,False,False
2.825,False,False,False,False
2.835,False,False,False,False
2.845,False,False,False,False
2.855,False,False,False,False
2.865,False,False,False,False
2.875,False,False,False,False
2.885,False,False,False,False
2.896,False,False,False,False
2.906,False,False,False,False
2.916,False,True,False,False
2.927,False,True,False,False
2.937,False,True,False,False
2.947,False,True,False,True
2.958,False,True,False,True
2.969,False,True,False,True
2.979,False,True,False,False
2.989,False,True,False,False
3.0,False,True,False,False
3.01,False,True,False,False
3.02,False,True,False,False
3.031,False,True,False,False
3.042,False,True,False,False
3.053,False,True,False,False
3.063,False,True,False,False
3.073,False,True,False,False
3.085,False,True,False,False
3.095,False,True,False,False
3.106,False,True,False,False
3.116,False,True,False,False
3.126,False,True,False,False
3.136,False,True,False,False
3.146,False,True,False,False
3.157,False,True,False,False
3.167,False,True,False,False
3.177,False,True,False,False
3.187,False,True,False,False
3.197,False,True,False,False
3.208,False,True,False,False
3.218,False,True,False,False
3.228,False,True,False,False
3.244,False,True,False,False
3.258,False,True,False,False
3.271,False,True,False,False
3.281,False,True,False,False
3.291,False,True,False,False
3.302,False,True,False,False
3.313,False,True,False,False
3.324,False,True,False,False
3.334,False,True,False,False
3.344,False,True,False,False
3.354,False,True,False,False
3.365,False,True,False,False
3.375,False,True,False,False
3.385,False,True,False,False
3.395,False,True,False,False
3.405,False,True,False,False
3.415,False,True,False,False
3.425,False,True,False,False
3.436,False,True,False,False
3.446,False,False,False,False
3.456,False,False,False,False
