Time,Poke1,Poke2,Line1,Line2,Line3,Line4
0.04,False,False,False,False,False,False
0.15,False,False,False,False,False,False
0.25,False,False,False,False,False,False
0.35,False,False,False,False,False,False
0.45,False,False,False,False,False,False
0.55,False,False,False,False,False,False
0.65,False,False,False,False,False,False
0.75,False,False,False,False,False,False
0.85,False,False,False,False,False,False
0.95,False,False,False,False,False,False
1.05,False,False,False,False,False,False
1.15,False,False,False,False,False,False
1.25,False,False,False,False,False,False
1.35,False,False,False,False,False,False
1.45,False,False,False,False,False,False
1.55,False,False,False,False,False,False
1.65,False,False,False,False,False,False
1.76,False,False,False,False,False,False
1.86,False,False,False,False,False,False
1.96,False,False,False,False,False,False
2.06,False,False,False,False,False,False
2.16,False,False,False,False,False,False
2.26,False,False,False,False,False,False
2.36,False,False,False,False,False,False
2.46,False,False,False,False,False,False
2.56,False,False,False,False,False,False
2.66,False,False,False,False,False,False
2.76,False,False,False,False,False,False
2.86,False,False,False,False,False,False
2.96,False,False,False,False,False,False
3.06,False,False,False,False,False,False
3.16,False,False,False,False,False,False
3.26,False,False,False,False,False,False
3.36,False,False,False,False,False,False
3.46,False,False,False,False,False,False
3.56,False,False,False,False,False,False
3.66,False,False,False,False,False,False
3.76,False,False,False,False,False,False
3.86,False,False,False,False,False,False
3.96,False,False,False,False,False,False
4.06,False,False,False,False,False,False
4.17,False,False,False,False,False,False
4.27,False,False,False,False,False,False
4.37,False,False,False,False,False,False
4.47,False,False,False,False,False,False
4.57,False,False,False,False,False,False
4.67,False,False,False,False,False,False
4.77,False,False,False,False,False,False
4.87,False,False,False,False,False,False
4.97,False,False,False,False,False,False
5.07,False,False,False,False,False,False
5.17,False,False,False,False,False,False
5.27,False,False,False,False,False,False
5.37,False,False,False,False,False,False
5.47,False,False,False,False,False,False
5.57,False,False,False,False,False,False
5.67,False,False,False,False,False,False
5.77,False,False,False,False,False,False
5.87,False,False,False,False,False,False
5.97,False,False,False,False,False,False
6.07,False,False,False,False,False,False
6.17,False,False,False,False,False,False
6.27,False,False,False,False,False,False
6.38,False,False,False,False,False,False
6.48,False,False,False,False,False,False
6.58,False,False,False,False,False,False
6.68,False,True,False,False,False,False
6.78,False,True,False,False,False,False
6.88,False,True,False,False,False,False
6.98,False,True,False,False,False,False
7.08,False,True,False,False,False,False
7.18,False,True,False,False,False,False
7.28,False,True,False,False,False,False
7.38,False,False,False,False,False,False
7.48,False,False,False,False,False,False
7.58,False,False,False,False,False,False
7.68,False,False,False,False,False,False
7.78,False,False,False,False,False,False
7.88,False,False,False,False,False,False
7.98,False,False,False,False,False,False
8.08,False,False,False,False,False,False
8.18,False,False,False,False,False,False
8.28,False,False,False,False,False,False
8.38,False,False,False,False,False,False
8.49,False,False,False,False,False,False
8.59,False,False,False,False,False,False
8.69,False,False,False,False,False,False
8.79,False,False,False,False,False,False
8.89,False,False,False,False,False,False
8.99,False,False,False,False,False,False
9.09,False,False,False,False,False,False
9.19,False,False,False,False,False,False
9.29,False,False,False,False,False,False
9.39,False,False,False,False,False,False
9.49,False,False,False,False,False,False
9.59,False,False,False,False,False,False
9.69,False,False,False,False,False,False
9.79,False,False,False,False,False,False
9.89,False,False,False,False,False,False
9.99,False,False,False,False,False,False
10.09,False,False,False,False,False,False
10.19,False,False,False,False,False,False
10.29,False,False,False,False,False,False
10.39,False,False,False,False,False,False
10.49,False,False,False,False,False,False
10.59,False,False,False,False,False,False
10.69,False,False,False,False,False,False
10.79,False,False,False,False,False,False
10.89,False,False,False,False,False,False
10.99,False,False,False,False,False,False
11.09,False,False,False,False,False,False
11.19,False,False,False,False,False,False
11.29,False,False,False,False,False,False
11.4,False,False,False,False,False,False
11.5,False,False,False,False,False,False
11.6,False,False,False,False,False,False
11.7,False,False,False,False,False,False
11.8,False,False,False,False,False,False
11.9,False,False,False,False,False,False
12.0,False,False,False,False,False,False
12.1,False,False,False,False,False,False
12.2,False,False,False,False,False,False
12.3,False,False,False,False,False,False
12.4,False,False,False,False,False,False
12.5,False,False,False,False,False,False
12.6,False,False,False,False,False,False
12.7,False,False,False,False,False,False
12.8,False,False,False,False,False,False
12.9,False,False,False,False,False,False
13.0,False,False,False,False,False,False
13.1,False,False,False,False,False,False
13.2,False,False,False,False,False,False
13.3,False,False,False,False,False,False
13.4,False,False,False,False,False,False
13.5,False,False,False,False,False,False
13.6,True,False,False,False,False,False
13.7,True,False,False,False,False,False
13.81,True,False,False,False,False,False
13.91,True,False,False,False,False,False
14.01,True,False,False,False,False,False
14.11,True,False,False,False,False,False
14.21,True,False,False,False,False,False
14.31,True,False,False,False,False,False
14.41,True,False,False,False,False,False
14.51,True,False,False,False,False,False
14.61,True,False,False,False,False,False
14.71,True,False,False,False,False,False
14.81,True,False,False,False,False,False
14.91,True,False,False,False,False,False
15.01,True,False,False,False,False,False
15.11,True,False,False,False,False,False
15.21,True,False,False,False,False,False
15.31,True,False,False,False,False,False
15.41,False,False,False,False,False,False
15.51,False,False,False,False,False,False
15.61,False,False,False,False,False,False
15.71,False,False,False,False,False,False
15.81,False,False,False,False,False,False
15.91,False,False,False,False,False,False
16.01,False,False,False,False,False,False
16.11,False,False,False,False,False,False
16.22,False,False,False,False,False,False
16.32,False,False,False,False,False,False
16.42,False,False,False,False,False,False
16.52,False,False,False,False,False,False
16.62,False,False,False,False,False,False
16.72,False,False,False,False,False,False
16.82,False,False,False,False,False,False
16.92,False,False,False,False,False,False
17.02,False,False,False,False,False,False
17.12,False,False,False,False,False,False
17.22,False,False,False,False,False,False
17.32,False,False,False,False,False,False
17.42,False,False,False,False,False,False
17.52,False,False,False,False,False,False
17.62,False,False,False,False,False,False
17.72,False,False,False,False,False,False
17.82,False,False,False,False,False,False
17.92,False,False,False,False,False,False
18.02,False,False,False,False,False,False
18.12,False,False,False,False,False,False
18.22,False,False,False,False,False,False
18.32,False,False,False,False,False,False
18.42,False,False,False,False,False,False
18.52,False,False,False,False,False,False
18.63,False,False,False,False,False,False
18.73,False,False,False,False,False,False
18.83,False,False,False,False,False,False
18.93,False,False,False,False,False,False
19.03,False,False,False,False,False,False
19.13,False,False,False,False,False,False
19.23,False,False,False,False,False,False
19.33,False,False,False,False,False,False
19.43,False,False,False,False,False,False
19.53,False,False,False,False,False,False
19.63,False,False,False,False,False,False
19.73,False,False,False,False,False,False
19.83,False,False,False,False,False,False
19.93,False,False,False,False,False,False
20.03,False,False,False,False,False,False
20.13,False,False,False,False,False,False
20.23,False,False,False,False,False,False
20.33,False,False,False,False,False,False
20.43,False,False,False,False,False,False
20.53,False,False,False,False,False,False
20.63,False,False,False,False,False,False
20.73,False,False,False,False,False,False
20.83,False,False,False,False,False,False
20.93,False,False,False,False,False,False
21.03,False,False,False,False,False,False
21.14,False,False,False,False,False,False
21.24,False,False,False,False,False,False
21.34,False,False,False,False,False,False
21.44,False,False,False,False,False,False
21.54,False,False,False,False,False,False
21.64,False,False,False,False,False,False
21.74,False,False,False,False,False,False
21.84,False,False,False,False,False,False
21.94,False,False,False,False,False,False
22.04,False,False,False,False,False,False
22.14,False,False,False,False,False,False
22.24,False,False,False,False,False,False
22.34,False,False,False,False,False,False
22.44,False,False,False,False,False,False
22.54,False,False,False,False,False,False
22.64,False,False,False,False,False,False
22.74,False,False,False,False,False,False
22.84,False,False,False,False,False,False
22.94,False,False,False,False,False,False
23.04,False,False,False,False,False,False
23.14,False,False,False,False,False,False
23.24,False,False,False,False,False,False
23.34,False,False,False,False,False,False
23.44,False,False,False,False,False,False
23.54,False,False,False,False,False,False
23.64,False,False,False,False,False,False
23.75,False,False,False,False,False,False
23.85,False,False,False,False,False,False
23.95,False,False,False,False,False,False
24.05,False,False,False,False,False,False
24.15,False,False,False,False,False,False
24.25,False,False,False,False,False,False
24.35,False,False,False,False,False,False
24.45,False,False,False,False,False,False
24.55,False,False,False,False,False,False
24.65,False,False,False,False,False,False
24.75,False,False,False,False,False,False
24.85,False,False,False,False,False,False
24.95,False,False,False,False,False,False
25.05,False,False,False,False,False,False
25.15,False,False,False,False,False,False
25.25,False,False,False,False,False,False
25.35,False,False,False,False,False,False
25.45,False,False,False,False,False,False
25.55,False,False,False,False,False,False
25.65,False,False,False,False,False,False
25.75,False,False,False,False,False,False
25.85,False,False,False,False,False,False
25.95,False,False,False,False,False,False
26.05,False,False,False,False,False,False
26.15,False,False,False,False,False,False
26.25,False,False,False,False,False,False
26.35,False,False,False,False,False,False
26.45,False,False,False,False,False,False
26.55,False,False,False,False,False,False
26.66,False,False,False,False,False,False
26.76,False,False,False,False,False,False
26.86,False,False,False,False,False,False
26.96,False,False,False,False,False,False
27.06,False,False,False,False,False,False
27.16,False,False,False,False,False,False
27.26,False,False,False,False,False,False
27.36,False,False,False,False,False,False
27.46,False,False,False,False,False,False
27.56,False,False,False,False,False,False
27.66,False,False,False,False,False,False
27.76,False,False,False,False,False,False
27.86,False,False,False,False,False,False
27.96,False,False,False,False,False,False
28.06,False,False,False,False,False,False
28.16,False,False,False,False,False,False
28.26,False,False,False,False,False,False
28.36,False,False,False,False,False,False
28.46,False,False,False,False,False,False
28.56,False,False,False,False,False,False
28.66,False,False,False,False,False,False
28.76,False,False,False,False,False,False
28.86,False,False,False,False,False,False
28.96,False,False,False,False,False,False
29.06,False,False,False,False,False,False
29.16,False,False,False,False,False,False
29.26,False,False,False,False,False,False
29.37,False,False,False,False,False,False
29.47,False,False,False,False,False,False
29.57,False,False,False,False,False,False
29.67,False,False,False,False,False,False
29.77,False,False,False,False,False,False
29.87,False,False,False,False,False,False
29.97,False,False,False,False,False,False
30.07,False,False,False,False,False,False
30.17,False,False,False,False,False,False
30.27,False,False,False,False,False,False
30.37,False,False,False,False,False,False
30.47,False,False,False,False,False,False
30.57,False,False,False,False,False,False
30.67,False,False,False,False,False,False
30.77,False,False,False,False,False,False
30.87,False,False,False,False,False,False
30.97,False,False,False,False,False,False
31.07,False,False,False,False,False,False
31.18,False,False,False,False,False,False
31.28,False,False,False,False,False,False
31.38,False,False,False,False,False,False
31.48,False,False,False,False,False,False
31.58,False,False,False,False,False,False
31.68,False,False,False,False,False,False
31.78,False,False,False,False,False,False
31.88,False,False,False,False,False,False
31.98,False,False,False,False,False,False
32.08,False,False,False,False,False,False
32.18,False,False,False,False,False,False
32.28,False,False,False,False,False,False
32.38,False,False,False,False,False,False
32.48,False,False,False,False,False,False
32.58,False,False,False,False,False,False
32.68,False,False,False,False,False,False
32.78,False,False,False,False,False,False
32.88,False,False,False,False,False,False
32.98,False,False,False,False,False,False
33.08,False,False,False,False,False,False
33.18,False,False,False,False,False,False
33.28,False,False,False,False,False,False
33.38,False,False,False,False,False,False
33.48,False,False,False,False,False,False
33.58,False,False,False,False,False,False
33.69,False,False,False,False,False,False
33.79,False,False,False,False,False,False
33.89,False,False,False,False,False,False
33.99,False,False,False,False,False,False
34.09,False,False,False,False,False,False
34.19,False,False,False,False,False,False
34.29,False,False,False,False,False,False
34.39,False,False,False,False,False,False
34.49,False,False,False,False,False,False
34.59,False,False,False,False,False,False
34.69,False,False,False,False,False,False
34.79,False,False,False,False,False,False
34.89,False,False,False,False,False,False
34.99,False,False,False,False,False,False
35.09,False,False,False,False,False,False
35.19,False,False,False,False,False,False
35.29,False,False,False,False,False,False
35.39,False,False,False,False,False,False
35.49,False,False,False,False,False,False
35.59,False,False,False,False,False,False
35.7,False,False,False,False,False,False
35.8,False,False,False,False,False,False
35.9,False,False,False,False,False,False
36.0,False,False,False,False,False,False
36.1,False,False,False,False,False,False
36.2,False,False,False,False,False,False
36.3,False,False,False,False,False,False
36.4,False,False,False,False,False,False
36.5,False,False,False,False,False,False
36.6,False,False,False,False,False,False
36.7,False,False,False,False,False,False
36.8,False,False,False,False,False,False
36.9,False,False,False,False,False,False
37.0,False,False,False,False,False,False
37.1,False,False,False,False,False,False
37.2,False,False,False,False,False,False
37.31,False,False,False,False,False,False
37.41,False,False,False,False,False,False
37.51,False,False,False,False,False,False
37.61,False,False,False,False,False,False
37.71,False,False,False,False,False,False
37.81,False,False,False,False,False,False
37.91,False,False,False,False,False,False
38.01,False,False,False,False,False,False
38.11,False,False,False,False,False,False
38.21,False,False,False,False,False,False
38.31,False,False,False,False,False,False
38.41,False,False,False,False,False,False
38.51,False,False,False,False,False,False
38.61,False,False,False,False,False,False
38.71,False,False,False,False,False,False
38.81,False,False,False,False,False,False
38.91,False,False,False,False,False,False
39.01,False,False,False,False,False,False
39.11,False,False,False,False,False,False
39.21,False,False,False,False,False,False
39.31,False,False,False,False,False,False
39.41,False,False,False,False,False,False
39.51,False,False,False,False,False,False
39.61,False,False,False,False,False,False
39.71,False,False,False,False,False,False
39.82,False,False,False,False,False,False
39.92,False,False,False,False,False,False
40.02,False,False,False,False,False,False
40.12,False,False,False,False,False,False
40.22,False,False,False,False,False,False
40.32,False,False,False,False,False,False
40.42,False,False,False,False,False,False
40.52,False,False,False,False,False,False
40.62,False,False,False,False,False,False
40.72,False,False,False,False,False,False
40.82,False,False,False,False,False,False
40.92,False,False,False,False,False,False
41.02,False,False,False,False,False,False
41.12,False,False,False,False,False,False
41.22,False,False,False,False,False,False
41.32,False,False,False,False,False,False
41.42,False,False,False,False,False,False
41.52,False,False,False,False,False,False
41.63,False,False,False,False,False,False
41.73,False,False,False,False,False,False
41.83,False,False,False,False,False,False
41.93,False,False,False,False,False,False
42.03,False,False,False,False,False,False
42.13,False,False,False,False,False,False
42.23,False,False,False,False,False,False
42.33,False,False,False,False,False,False
42.43,False,False,False,False,False,False
42.53,False,False,False,False,False,False
42.63,False,False,False,False,False,False
42.73,False,False,False,False,False,False
42.83,False,False,False,False,False,False
42.94,False,False,False,False,False,False
43.04,False,False,False,False,False,False
43.14,False,False,False,False,False,False
43.24,False,False,False,False,False,False
43.34,False,False,False,False,False,False
43.44,False,False,False,False,False,False
43.54,False,False,False,False,False,False
43.64,False,True,False,False,False,False
43.74,False,True,False,False,False,False
43.84,False,True,False,False,False,False
43.94,False,True,False,False,False,False
44.04,False,True,False,False,False,False
44.14,False,True,False,False,False,False
44.24,False,True,False,False,False,False
44.34,False,False,False,False,False,False
44.44,False,False,False,False,False,False
44.54,False,False,False,False,False,False
44.64,False,False,False,False,False,False
44.74,False,False,False,False,False,False
44.84,False,False,False,False,False,False
44.94,False,False,False,False,False,False
45.04,False,False,False,False,False,False
45.15,False,False,False,False,False,False
45.25,False,False,False,False,False,False
45.35,False,False,False,False,False,False
45.45,False,False,False,False,False,False
45.55,False,False,False,False,False,False
45.65,False,False,False,False,False,False
45.75,False,False,False,False,False,False
45.85,False,False,False,False,False,False
45.95,False,False,False,False,False,False
46.05,False,False,False,False,False,False
46.15,False,False,False,False,False,False
46.25,False,False,False,False,False,False
46.35,False,False,False,False,False,False
46.45,False,False,False,False,False,False
46.55,False,False,False,False,False,False
46.65,False,False,False,False,False,False
46.75,False,False,False,False,False,False
46.85,False,False,False,False,False,False
46.95,False,False,False,False,False,False
47.05,False,False,False,False,False,False
47.15,False,False,False,False,False,False
